sigma;thres;class1;score1;class2;score2;class3;score3;class4;score4;class5;score5;class6;score6;class7;score7;class8;score8;class9;score9;class10;score10;class11;score11;class12;score12;class13;score13;class14;score14;class15;score15;class16;score16;class17;score17;class18;score18;class19;score19;class20;score20;class21;score21;class22;score22;class23;score23;class24;score24;class25;score25;x1;y1;w1;h1;x2;y2;w2;h2;x3;y3;w3;h3;x4;y4;w4;h4;x5;y5;w5;h5
1;0.0000;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.2198;sea snake;0.1757;water snake;0.1609;loggerhead, loggerhead turtle, Caretta caretta;0.0605;puffer, pufferfish, blowfish, globefish;0.0397;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.2198;sea snake;0.1757;water snake;0.1609;loggerhead, loggerhead turtle, Caretta caretta;0.0605;puffer, pufferfish, blowfish, globefish;0.0397;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.2198;sea snake;0.1757;water snake;0.1609;loggerhead, loggerhead turtle, Caretta caretta;0.0605;puffer, pufferfish, blowfish, globefish;0.0397;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.2198;sea snake;0.1757;water snake;0.1609;loggerhead, loggerhead turtle, Caretta caretta;0.0605;puffer, pufferfish, blowfish, globefish;0.0397;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.2198;sea snake;0.1757;water snake;0.1609;loggerhead, loggerhead turtle, Caretta caretta;0.0605;puffer, pufferfish, blowfish, globefish;0.0397;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;dogsled, dog sled, dog sleigh;0.3069;alp;0.2709;ski;0.1333;Irish wolfhound;0.1163;Scottish deerhound, deerhound;0.0505;dogsled, dog sled, dog sleigh;0.3069;alp;0.2709;ski;0.1333;Irish wolfhound;0.1163;Scottish deerhound, deerhound;0.0505;dogsled, dog sled, dog sleigh;0.3069;alp;0.2709;ski;0.1333;Irish wolfhound;0.1163;Scottish deerhound, deerhound;0.0505;dogsled, dog sled, dog sleigh;0.3069;alp;0.2709;ski;0.1333;Irish wolfhound;0.1163;Scottish deerhound, deerhound;0.0505;dogsled, dog sled, dog sleigh;0.3069;alp;0.2709;ski;0.1333;Irish wolfhound;0.1163;Scottish deerhound, deerhound;0.0505;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;Shetland sheepdog, Shetland sheep dog, Shetland;0.7931;collie;0.1950;papillon;0.0101;borzoi, Russian wolfhound;0.0005;Pembroke, Pembroke Welsh corgi;0.0003;Shetland sheepdog, Shetland sheep dog, Shetland;0.7931;collie;0.1950;papillon;0.0101;borzoi, Russian wolfhound;0.0005;Pembroke, Pembroke Welsh corgi;0.0003;Shetland sheepdog, Shetland sheep dog, Shetland;0.7931;collie;0.1950;papillon;0.0101;borzoi, Russian wolfhound;0.0005;Pembroke, Pembroke Welsh corgi;0.0003;Shetland sheepdog, Shetland sheep dog, Shetland;0.7931;collie;0.1950;papillon;0.0101;borzoi, Russian wolfhound;0.0005;Pembroke, Pembroke Welsh corgi;0.0003;Shetland sheepdog, Shetland sheep dog, Shetland;0.7931;collie;0.1950;papillon;0.0101;borzoi, Russian wolfhound;0.0005;Pembroke, Pembroke Welsh corgi;0.0003;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;espresso;0.3292;cup;0.1613;eggnog;0.1293;beer glass;0.1034;mixing bowl;0.0641;espresso;0.3292;cup;0.1613;eggnog;0.1293;beer glass;0.1034;mixing bowl;0.0641;espresso;0.3292;cup;0.1613;eggnog;0.1293;beer glass;0.1034;mixing bowl;0.0641;espresso;0.3292;cup;0.1613;eggnog;0.1293;beer glass;0.1034;mixing bowl;0.0641;espresso;0.3292;cup;0.1613;eggnog;0.1293;beer glass;0.1034;mixing bowl;0.0641;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;cradle;0.1039;crib, cot;0.0798;hamper;0.0790;bassinet;0.0418;studio couch, day bed;0.0382;cradle;0.1039;crib, cot;0.0798;hamper;0.0790;bassinet;0.0418;studio couch, day bed;0.0382;cradle;0.1039;crib, cot;0.0798;hamper;0.0790;bassinet;0.0418;studio couch, day bed;0.0382;cradle;0.1039;crib, cot;0.0798;hamper;0.0790;bassinet;0.0418;studio couch, day bed;0.0382;cradle;0.1039;crib, cot;0.0798;hamper;0.0790;bassinet;0.0418;studio couch, day bed;0.0382;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;thunder snake, worm snake, Carphophis amoenus;0.3076;ringneck snake, ring-necked snake, ring snake;0.2138;water snake;0.1391;sea snake;0.0729;night snake, Hypsiglena torquata;0.0423;thunder snake, worm snake, Carphophis amoenus;0.3076;ringneck snake, ring-necked snake, ring snake;0.2138;water snake;0.1391;sea snake;0.0729;night snake, Hypsiglena torquata;0.0423;thunder snake, worm snake, Carphophis amoenus;0.3076;ringneck snake, ring-necked snake, ring snake;0.2138;water snake;0.1391;sea snake;0.0729;night snake, Hypsiglena torquata;0.0423;thunder snake, worm snake, Carphophis amoenus;0.3076;ringneck snake, ring-necked snake, ring snake;0.2138;water snake;0.1391;sea snake;0.0729;night snake, Hypsiglena torquata;0.0423;thunder snake, worm snake, Carphophis amoenus;0.3076;ringneck snake, ring-necked snake, ring snake;0.2138;water snake;0.1391;sea snake;0.0729;night snake, Hypsiglena torquata;0.0423;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;tiger, Panthera tigris;0.2329;porcupine, hedgehog;0.0778;tiger cat;0.0718;Tibetan terrier, chrysanthemum dog;0.0657;guinea pig, Cavia cobaya;0.0396;tiger, Panthera tigris;0.2329;porcupine, hedgehog;0.0778;tiger cat;0.0718;Tibetan terrier, chrysanthemum dog;0.0657;guinea pig, Cavia cobaya;0.0396;tiger, Panthera tigris;0.2329;porcupine, hedgehog;0.0778;tiger cat;0.0718;Tibetan terrier, chrysanthemum dog;0.0657;guinea pig, Cavia cobaya;0.0396;tiger, Panthera tigris;0.2329;porcupine, hedgehog;0.0778;tiger cat;0.0718;Tibetan terrier, chrysanthemum dog;0.0657;guinea pig, Cavia cobaya;0.0396;tiger, Panthera tigris;0.2329;porcupine, hedgehog;0.0778;tiger cat;0.0718;Tibetan terrier, chrysanthemum dog;0.0657;guinea pig, Cavia cobaya;0.0396;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;face powder;0.1379;coffee mug;0.1221;bottlecap;0.0440;pick, plectrum, plectron;0.0415;rubber eraser, rubber, pencil eraser;0.0375;face powder;0.1379;coffee mug;0.1221;bottlecap;0.0440;pick, plectrum, plectron;0.0415;rubber eraser, rubber, pencil eraser;0.0375;face powder;0.1379;coffee mug;0.1221;bottlecap;0.0440;pick, plectrum, plectron;0.0415;rubber eraser, rubber, pencil eraser;0.0375;face powder;0.1379;coffee mug;0.1221;bottlecap;0.0440;pick, plectrum, plectron;0.0415;rubber eraser, rubber, pencil eraser;0.0375;face powder;0.1379;coffee mug;0.1221;bottlecap;0.0440;pick, plectrum, plectron;0.0415;rubber eraser, rubber, pencil eraser;0.0375;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;dining table, board;0.3032;potter's wheel;0.0860;pool table, billiard table, snooker table;0.0653;table lamp;0.0476;desk;0.0427;dining table, board;0.3032;potter's wheel;0.0860;pool table, billiard table, snooker table;0.0653;table lamp;0.0476;desk;0.0427;dining table, board;0.3032;potter's wheel;0.0860;pool table, billiard table, snooker table;0.0653;table lamp;0.0476;desk;0.0427;dining table, board;0.3032;potter's wheel;0.0860;pool table, billiard table, snooker table;0.0653;table lamp;0.0476;desk;0.0427;dining table, board;0.3032;potter's wheel;0.0860;pool table, billiard table, snooker table;0.0653;table lamp;0.0476;desk;0.0427;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;Angora, Angora rabbit;0.1956;Pomeranian;0.1836;toy poodle;0.1385;hamster;0.0908;teddy, teddy bear;0.0825;Angora, Angora rabbit;0.1956;Pomeranian;0.1836;toy poodle;0.1385;hamster;0.0908;teddy, teddy bear;0.0825;Angora, Angora rabbit;0.1956;Pomeranian;0.1836;toy poodle;0.1385;hamster;0.0908;teddy, teddy bear;0.0825;Angora, Angora rabbit;0.1956;Pomeranian;0.1836;toy poodle;0.1385;hamster;0.0908;teddy, teddy bear;0.0825;Angora, Angora rabbit;0.1956;Pomeranian;0.1836;toy poodle;0.1385;hamster;0.0908;teddy, teddy bear;0.0825;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;brain coral;0.9885;coral reef;0.0065;jackfruit, jak, jack;0.0019;eel;0.0013;puffer, pufferfish, blowfish, globefish;0.0011;brain coral;0.9885;coral reef;0.0065;jackfruit, jak, jack;0.0019;eel;0.0013;puffer, pufferfish, blowfish, globefish;0.0011;brain coral;0.9885;coral reef;0.0065;jackfruit, jak, jack;0.0019;eel;0.0013;puffer, pufferfish, blowfish, globefish;0.0011;brain coral;0.9885;coral reef;0.0065;jackfruit, jak, jack;0.0019;eel;0.0013;puffer, pufferfish, blowfish, globefish;0.0011;brain coral;0.9885;coral reef;0.0065;jackfruit, jak, jack;0.0019;eel;0.0013;puffer, pufferfish, blowfish, globefish;0.0011;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
