sigma;thres;class1;score1;class2;score2;class3;score3;class4;score4;class5;score5;class6;score6;class7;score7;class8;score8;class9;score9;class10;score10;class11;score11;class12;score12;class13;score13;class14;score14;class15;score15;class16;score16;class17;score17;class18;score18;class19;score19;class20;score20;class21;score21;class22;score22;class23;score23;class24;score24;class25;score25;x1;y1;w1;h1;x2;y2;w2;h2;x3;y3;w3;h3;x4;y4;w4;h4;x5;y5;w5;h5
1;0.0000;water snake;0.2646;American alligator, Alligator mississipiensis;0.1818;rock python, rock snake, Python sebae;0.1336;African crocodile, Nile crocodile, Crocodylus niloticus;0.0992;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.0725;water snake;0.2646;American alligator, Alligator mississipiensis;0.1818;rock python, rock snake, Python sebae;0.1336;African crocodile, Nile crocodile, Crocodylus niloticus;0.0992;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.0725;water snake;0.2646;American alligator, Alligator mississipiensis;0.1818;rock python, rock snake, Python sebae;0.1336;African crocodile, Nile crocodile, Crocodylus niloticus;0.0992;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.0725;water snake;0.2646;American alligator, Alligator mississipiensis;0.1818;rock python, rock snake, Python sebae;0.1336;African crocodile, Nile crocodile, Crocodylus niloticus;0.0992;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.0725;water snake;0.2646;American alligator, Alligator mississipiensis;0.1818;rock python, rock snake, Python sebae;0.1336;African crocodile, Nile crocodile, Crocodylus niloticus;0.0992;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.0725;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;ski;0.9651;alp;0.0216;shovel;0.0083;ski mask;0.0045;dogsled, dog sled, dog sleigh;0.0001;ski;0.9651;alp;0.0216;shovel;0.0083;ski mask;0.0045;dogsled, dog sled, dog sleigh;0.0001;ski;0.9651;alp;0.0216;shovel;0.0083;ski mask;0.0045;dogsled, dog sled, dog sleigh;0.0001;ski;0.9651;alp;0.0216;shovel;0.0083;ski mask;0.0045;dogsled, dog sled, dog sleigh;0.0001;ski;0.9651;alp;0.0216;shovel;0.0083;ski mask;0.0045;dogsled, dog sled, dog sleigh;0.0001;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8434;collie;0.1564;papillon;0.0001;borzoi, Russian wolfhound;0.0000;Border collie;0.0000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8434;collie;0.1564;papillon;0.0001;borzoi, Russian wolfhound;0.0000;Border collie;0.0000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8434;collie;0.1564;papillon;0.0001;borzoi, Russian wolfhound;0.0000;Border collie;0.0000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8434;collie;0.1564;papillon;0.0001;borzoi, Russian wolfhound;0.0000;Border collie;0.0000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8434;collie;0.1564;papillon;0.0001;borzoi, Russian wolfhound;0.0000;Border collie;0.0000;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;eggnog;0.6121;soup bowl;0.1974;consomme;0.0482;cup;0.0464;mixing bowl;0.0340;eggnog;0.6121;soup bowl;0.1974;consomme;0.0482;cup;0.0464;mixing bowl;0.0340;eggnog;0.6121;soup bowl;0.1974;consomme;0.0482;cup;0.0464;mixing bowl;0.0340;eggnog;0.6121;soup bowl;0.1974;consomme;0.0482;cup;0.0464;mixing bowl;0.0340;eggnog;0.6121;soup bowl;0.1974;consomme;0.0482;cup;0.0464;mixing bowl;0.0340;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;bassinet;0.5842;crib, cot;0.1851;cradle;0.1783;hamper;0.0124;rocking chair, rocker;0.0044;bassinet;0.5842;crib, cot;0.1851;cradle;0.1783;hamper;0.0124;rocking chair, rocker;0.0044;bassinet;0.5842;crib, cot;0.1851;cradle;0.1783;hamper;0.0124;rocking chair, rocker;0.0044;bassinet;0.5842;crib, cot;0.1851;cradle;0.1783;hamper;0.0124;rocking chair, rocker;0.0044;bassinet;0.5842;crib, cot;0.1851;cradle;0.1783;hamper;0.0124;rocking chair, rocker;0.0044;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;sidewinder, horned rattlesnake, Crotalus cerastes;0.2026;night snake, Hypsiglena torquata;0.1706;water snake;0.1541;sea snake;0.1346;hognose snake, puff adder, sand viper;0.0757;sidewinder, horned rattlesnake, Crotalus cerastes;0.2026;night snake, Hypsiglena torquata;0.1706;water snake;0.1541;sea snake;0.1346;hognose snake, puff adder, sand viper;0.0757;sidewinder, horned rattlesnake, Crotalus cerastes;0.2026;night snake, Hypsiglena torquata;0.1706;water snake;0.1541;sea snake;0.1346;hognose snake, puff adder, sand viper;0.0757;sidewinder, horned rattlesnake, Crotalus cerastes;0.2026;night snake, Hypsiglena torquata;0.1706;water snake;0.1541;sea snake;0.1346;hognose snake, puff adder, sand viper;0.0757;sidewinder, horned rattlesnake, Crotalus cerastes;0.2026;night snake, Hypsiglena torquata;0.1706;water snake;0.1541;sea snake;0.1346;hognose snake, puff adder, sand viper;0.0757;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;marmoset;0.2012;Tibetan terrier, chrysanthemum dog;0.0978;porcupine, hedgehog;0.0782;tabby, tabby cat;0.0533;titi, titi monkey;0.0506;marmoset;0.2012;Tibetan terrier, chrysanthemum dog;0.0978;porcupine, hedgehog;0.0782;tabby, tabby cat;0.0533;titi, titi monkey;0.0506;marmoset;0.2012;Tibetan terrier, chrysanthemum dog;0.0978;porcupine, hedgehog;0.0782;tabby, tabby cat;0.0533;titi, titi monkey;0.0506;marmoset;0.2012;Tibetan terrier, chrysanthemum dog;0.0978;porcupine, hedgehog;0.0782;tabby, tabby cat;0.0533;titi, titi monkey;0.0506;marmoset;0.2012;Tibetan terrier, chrysanthemum dog;0.0978;porcupine, hedgehog;0.0782;tabby, tabby cat;0.0533;titi, titi monkey;0.0506;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;face powder;0.2590;pick, plectrum, plectron;0.1163;tennis ball;0.0907;nipple;0.0774;Petri dish;0.0737;face powder;0.2590;pick, plectrum, plectron;0.1163;tennis ball;0.0907;nipple;0.0774;Petri dish;0.0737;face powder;0.2590;pick, plectrum, plectron;0.1163;tennis ball;0.0907;nipple;0.0774;Petri dish;0.0737;face powder;0.2590;pick, plectrum, plectron;0.1163;tennis ball;0.0907;nipple;0.0774;Petri dish;0.0737;face powder;0.2590;pick, plectrum, plectron;0.1163;tennis ball;0.0907;nipple;0.0774;Petri dish;0.0737;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;wombat;0.2909;mousetrap;0.1658;fox squirrel, eastern fox squirrel, Sciurus niger;0.0821;hamster;0.0657;koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus;0.0405;wombat;0.2909;mousetrap;0.1658;fox squirrel, eastern fox squirrel, Sciurus niger;0.0821;hamster;0.0657;koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus;0.0405;wombat;0.2909;mousetrap;0.1658;fox squirrel, eastern fox squirrel, Sciurus niger;0.0821;hamster;0.0657;koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus;0.0405;wombat;0.2909;mousetrap;0.1658;fox squirrel, eastern fox squirrel, Sciurus niger;0.0821;hamster;0.0657;koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus;0.0405;wombat;0.2909;mousetrap;0.1658;fox squirrel, eastern fox squirrel, Sciurus niger;0.0821;hamster;0.0657;koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus;0.0405;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.0000;Persian cat;0.1964;Pekinese, Pekingese, Peke;0.1690;Maltese dog, Maltese terrier, Maltese;0.1224;Lhasa, Lhasa apso;0.0993;hamster;0.0971;Persian cat;0.1964;Pekinese, Pekingese, Peke;0.1690;Maltese dog, Maltese terrier, Maltese;0.1224;Lhasa, Lhasa apso;0.0993;hamster;0.0971;Persian cat;0.1964;Pekinese, Pekingese, Peke;0.1690;Maltese dog, Maltese terrier, Maltese;0.1224;Lhasa, Lhasa apso;0.0993;hamster;0.0971;Persian cat;0.1964;Pekinese, Pekingese, Peke;0.1690;Maltese dog, Maltese terrier, Maltese;0.1224;Lhasa, Lhasa apso;0.0993;hamster;0.0971;Persian cat;0.1964;Pekinese, Pekingese, Peke;0.1690;Maltese dog, Maltese terrier, Maltese;0.1224;Lhasa, Lhasa apso;0.0993;hamster;0.0971;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
