sigma;thres;class1;score1;class2;score2;class3;score3;class4;score4;class5;score5;class6;score6;class7;score7;class8;score8;class9;score9;class10;score10;class11;score11;class12;score12;class13;score13;class14;score14;class15;score15;class16;score16;class17;score17;class18;score18;class19;score19;class20;score20;class21;score21;class22;score22;class23;score23;class24;score24;class25;score25;x1;y1;w1;h1;x2;y2;w2;h2;x3;y3;w3;h3;x4;y4;w4;h4;x5;y5;w5;h5
1;0.0000;sea snake;0.4677;water snake;0.1772;night snake, Hypsiglena torquata;0.0440;rock python, rock snake, Python sebae;0.0402;ringneck snake, ring-necked snake, ring snake;0.0391;sea snake;0.4677;water snake;0.1772;night snake, Hypsiglena torquata;0.0440;rock python, rock snake, Python sebae;0.0402;ringneck snake, ring-necked snake, ring snake;0.0391;sea snake;0.4677;water snake;0.1772;night snake, Hypsiglena torquata;0.0440;rock python, rock snake, Python sebae;0.0402;ringneck snake, ring-necked snake, ring snake;0.0391;sea snake;0.4677;water snake;0.1772;night snake, Hypsiglena torquata;0.0440;rock python, rock snake, Python sebae;0.0402;ringneck snake, ring-necked snake, ring snake;0.0391;sea snake;0.4677;water snake;0.1772;night snake, Hypsiglena torquata;0.0440;rock python, rock snake, Python sebae;0.0402;ringneck snake, ring-necked snake, ring snake;0.0391;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.0000;alp;0.5352;ski;0.3893;dogsled, dog sled, dog sleigh;0.0097;snowmobile;0.0068;mountain tent;0.0066;alp;0.5352;ski;0.3893;dogsled, dog sled, dog sleigh;0.0097;snowmobile;0.0068;mountain tent;0.0066;alp;0.5352;ski;0.3893;dogsled, dog sled, dog sleigh;0.0097;snowmobile;0.0068;mountain tent;0.0066;alp;0.5352;ski;0.3893;dogsled, dog sled, dog sleigh;0.0097;snowmobile;0.0068;mountain tent;0.0066;alp;0.5352;ski;0.3893;dogsled, dog sled, dog sleigh;0.0097;snowmobile;0.0068;mountain tent;0.0066;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.0000;Shetland sheepdog, Shetland sheep dog, Shetland;0.5855;collie;0.3980;borzoi, Russian wolfhound;0.0044;papillon;0.0013;Afghan hound, Afghan;0.0010;Shetland sheepdog, Shetland sheep dog, Shetland;0.5855;collie;0.3980;borzoi, Russian wolfhound;0.0044;papillon;0.0013;Afghan hound, Afghan;0.0010;Shetland sheepdog, Shetland sheep dog, Shetland;0.5855;collie;0.3980;borzoi, Russian wolfhound;0.0044;papillon;0.0013;Afghan hound, Afghan;0.0010;Shetland sheepdog, Shetland sheep dog, Shetland;0.5855;collie;0.3980;borzoi, Russian wolfhound;0.0044;papillon;0.0013;Afghan hound, Afghan;0.0010;Shetland sheepdog, Shetland sheep dog, Shetland;0.5855;collie;0.3980;borzoi, Russian wolfhound;0.0044;papillon;0.0013;Afghan hound, Afghan;0.0010;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.0000;espresso;0.5209;cup;0.1220;soup bowl;0.1044;coffee mug;0.0419;eggnog;0.0339;espresso;0.5209;cup;0.1220;soup bowl;0.1044;coffee mug;0.0419;eggnog;0.0339;espresso;0.5209;cup;0.1220;soup bowl;0.1044;coffee mug;0.0419;eggnog;0.0339;espresso;0.5209;cup;0.1220;soup bowl;0.1044;coffee mug;0.0419;eggnog;0.0339;espresso;0.5209;cup;0.1220;soup bowl;0.1044;coffee mug;0.0419;eggnog;0.0339;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.0000;folding chair;0.1295;rocking chair, rocker;0.0802;hamper;0.0447;purse;0.0439;Christmas stocking;0.0286;folding chair;0.1295;rocking chair, rocker;0.0802;hamper;0.0447;purse;0.0439;Christmas stocking;0.0286;folding chair;0.1295;rocking chair, rocker;0.0802;hamper;0.0447;purse;0.0439;Christmas stocking;0.0286;folding chair;0.1295;rocking chair, rocker;0.0802;hamper;0.0447;purse;0.0439;Christmas stocking;0.0286;folding chair;0.1295;rocking chair, rocker;0.0802;hamper;0.0447;purse;0.0439;Christmas stocking;0.0286;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.0000;water snake;0.2426;ringneck snake, ring-necked snake, ring snake;0.2271;sea snake;0.1838;thunder snake, worm snake, Carphophis amoenus;0.1236;night snake, Hypsiglena torquata;0.0784;water snake;0.2426;ringneck snake, ring-necked snake, ring snake;0.2271;sea snake;0.1838;thunder snake, worm snake, Carphophis amoenus;0.1236;night snake, Hypsiglena torquata;0.0784;water snake;0.2426;ringneck snake, ring-necked snake, ring snake;0.2271;sea snake;0.1838;thunder snake, worm snake, Carphophis amoenus;0.1236;night snake, Hypsiglena torquata;0.0784;water snake;0.2426;ringneck snake, ring-necked snake, ring snake;0.2271;sea snake;0.1838;thunder snake, worm snake, Carphophis amoenus;0.1236;night snake, Hypsiglena torquata;0.0784;water snake;0.2426;ringneck snake, ring-necked snake, ring snake;0.2271;sea snake;0.1838;thunder snake, worm snake, Carphophis amoenus;0.1236;night snake, Hypsiglena torquata;0.0784;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.0000;marmoset;0.4729;porcupine, hedgehog;0.1561;titi, titi monkey;0.0840;cock;0.0454;guenon, guenon monkey;0.0295;marmoset;0.4729;porcupine, hedgehog;0.1561;titi, titi monkey;0.0840;cock;0.0454;guenon, guenon monkey;0.0295;marmoset;0.4729;porcupine, hedgehog;0.1561;titi, titi monkey;0.0840;cock;0.0454;guenon, guenon monkey;0.0295;marmoset;0.4729;porcupine, hedgehog;0.1561;titi, titi monkey;0.0840;cock;0.0454;guenon, guenon monkey;0.0295;marmoset;0.4729;porcupine, hedgehog;0.1561;titi, titi monkey;0.0840;cock;0.0454;guenon, guenon monkey;0.0295;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.0000;bath towel;0.1516;tennis ball;0.1092;rubber eraser, rubber, pencil eraser;0.0779;diaper, nappy, napkin;0.0743;toilet tissue, toilet paper, bathroom tissue;0.0613;bath towel;0.1516;tennis ball;0.1092;rubber eraser, rubber, pencil eraser;0.0779;diaper, nappy, napkin;0.0743;toilet tissue, toilet paper, bathroom tissue;0.0613;bath towel;0.1516;tennis ball;0.1092;rubber eraser, rubber, pencil eraser;0.0779;diaper, nappy, napkin;0.0743;toilet tissue, toilet paper, bathroom tissue;0.0613;bath towel;0.1516;tennis ball;0.1092;rubber eraser, rubber, pencil eraser;0.0779;diaper, nappy, napkin;0.0743;toilet tissue, toilet paper, bathroom tissue;0.0613;bath towel;0.1516;tennis ball;0.1092;rubber eraser, rubber, pencil eraser;0.0779;diaper, nappy, napkin;0.0743;toilet tissue, toilet paper, bathroom tissue;0.0613;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.0000;mousetrap;0.1918;marmot;0.1021;birdhouse;0.0967;beaver;0.0715;house finch, linnet, Carpodacus mexicanus;0.0536;mousetrap;0.1918;marmot;0.1021;birdhouse;0.0967;beaver;0.0715;house finch, linnet, Carpodacus mexicanus;0.0536;mousetrap;0.1918;marmot;0.1021;birdhouse;0.0967;beaver;0.0715;house finch, linnet, Carpodacus mexicanus;0.0536;mousetrap;0.1918;marmot;0.1021;birdhouse;0.0967;beaver;0.0715;house finch, linnet, Carpodacus mexicanus;0.0536;mousetrap;0.1918;marmot;0.1021;birdhouse;0.0967;beaver;0.0715;house finch, linnet, Carpodacus mexicanus;0.0536;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.0000;Angora, Angora rabbit;0.5423;Maltese dog, Maltese terrier, Maltese;0.1646;Persian cat;0.0960;Lhasa, Lhasa apso;0.0630;hamster;0.0366;Angora, Angora rabbit;0.5423;Maltese dog, Maltese terrier, Maltese;0.1646;Persian cat;0.0960;Lhasa, Lhasa apso;0.0630;hamster;0.0366;Angora, Angora rabbit;0.5423;Maltese dog, Maltese terrier, Maltese;0.1646;Persian cat;0.0960;Lhasa, Lhasa apso;0.0630;hamster;0.0366;Angora, Angora rabbit;0.5423;Maltese dog, Maltese terrier, Maltese;0.1646;Persian cat;0.0960;Lhasa, Lhasa apso;0.0630;hamster;0.0366;Angora, Angora rabbit;0.5423;Maltese dog, Maltese terrier, Maltese;0.1646;Persian cat;0.0960;Lhasa, Lhasa apso;0.0630;hamster;0.0366;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
