sigma;thres;class1;score1;class2;score2;class3;score3;class4;score4;class5;score5;class6;score6;class7;score7;class8;score8;class9;score9;class10;score10;class11;score11;class12;score12;class13;score13;class14;score14;class15;score15;class16;score16;class17;score17;class18;score18;class19;score19;class20;score20;class21;score21;class22;score22;class23;score23;class24;score24;class25;score25;x1;y1;w1;h1;x2;y2;w2;h2;x3;y3;w3;h3;x4;y4;w4;h4;x5;y5;w5;h5
1;0.5000;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.7330;loggerhead, loggerhead turtle, Caretta caretta;0.1638;puffer, pufferfish, blowfish, globefish;0.0263;sea snake;0.0162;water snake;0.0105;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.2761;loggerhead, loggerhead turtle, Caretta caretta;0.1305;puffer, pufferfish, blowfish, globefish;0.1258;African crocodile, Nile crocodile, Crocodylus niloticus;0.0836;American alligator, Alligator mississipiensis;0.0831;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.2883;American alligator, Alligator mississipiensis;0.2038;loggerhead, loggerhead turtle, Caretta caretta;0.1678;African crocodile, Nile crocodile, Crocodylus niloticus;0.1247;water snake;0.0475;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.4716;loggerhead, loggerhead turtle, Caretta caretta;0.2704;African crocodile, Nile crocodile, Crocodylus niloticus;0.0574;sea snake;0.0460;American alligator, Alligator mississipiensis;0.0324;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.2883;American alligator, Alligator mississipiensis;0.2038;loggerhead, loggerhead turtle, Caretta caretta;0.1678;African crocodile, Nile crocodile, Crocodylus niloticus;0.1247;water snake;0.0475;5;8;217;214;56;21;152;119;9;11;210;206;43;15;171;152;0;0;227;227
1;0.5000;dogsled, dog sled, dog sleigh;0.4905;Irish wolfhound;0.1107;ski;0.0795;alp;0.0728;Scottish deerhound, deerhound;0.0438;assault rifle, assault gun;0.3691;bulletproof vest;0.0796;space shuttle;0.0536;prison, prison house;0.0477;abaya;0.0374;alp;0.4314;ski;0.4142;dogsled, dog sled, dog sleigh;0.0647;shovel;0.0329;Irish wolfhound;0.0147;ski;0.3270;dogsled, dog sled, dog sleigh;0.2704;alp;0.1327;Irish wolfhound;0.0785;Scottish deerhound, deerhound;0.0340;ski;0.3051;dogsled, dog sled, dog sleigh;0.2183;Irish wolfhound;0.0936;shovel;0.0743;alp;0.0456;11;48;198;171;7;11;210;207;0;0;227;227;10;15;205;206;9;24;200;194
1;0.5000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8941;collie;0.1039;papillon;0.0015;borzoi, Russian wolfhound;0.0002;Pomeranian;0.0001;Shetland sheepdog, Shetland sheep dog, Shetland;0.8941;collie;0.1039;papillon;0.0015;borzoi, Russian wolfhound;0.0002;Pomeranian;0.0001;Shetland sheepdog, Shetland sheep dog, Shetland;0.8822;collie;0.1103;papillon;0.0064;borzoi, Russian wolfhound;0.0003;Border collie;0.0002;Shetland sheepdog, Shetland sheep dog, Shetland;0.8110;collie;0.1674;papillon;0.0193;borzoi, Russian wolfhound;0.0008;Pembroke, Pembroke Welsh corgi;0.0004;Shetland sheepdog, Shetland sheep dog, Shetland;0.8941;collie;0.1039;papillon;0.0015;borzoi, Russian wolfhound;0.0002;Pomeranian;0.0001;1;0;226;227;0;0;227;227;2;0;225;227;3;4;212;220;0;0;227;227
1;0.5000;cup;0.2738;espresso;0.2587;beer glass;0.1367;coffee mug;0.0835;eggnog;0.0772;espresso;0.3847;cup;0.2055;beer glass;0.1342;eggnog;0.0605;coffee mug;0.0552;espresso;0.2942;cup;0.2763;beer glass;0.1000;mixing bowl;0.0945;coffee mug;0.0832;espresso;0.3350;cup;0.2644;coffee mug;0.0915;beer glass;0.0897;mixing bowl;0.0595;espresso;0.3350;cup;0.2644;coffee mug;0.0915;beer glass;0.0897;mixing bowl;0.0595;0;0;227;227;0;0;227;227;2;1;224;221;0;0;227;227;0;0;227;227
1;0.5000;bassinet;0.0904;cradle;0.0888;crib, cot;0.0833;hamper;0.0771;pillow;0.0336;pillow;0.1583;crib, cot;0.0909;cradle;0.0904;bassinet;0.0887;hamper;0.0596;pillow;0.1583;crib, cot;0.0909;cradle;0.0904;bassinet;0.0887;hamper;0.0596;pillow;0.1583;crib, cot;0.0909;cradle;0.0904;bassinet;0.0887;hamper;0.0596;crib, cot;0.0792;cradle;0.0687;hamper;0.0666;bassinet;0.0543;Italian greyhound;0.0365;0;0;227;227;13;6;212;217;11;6;213;217;3;2;224;223;1;1;226;224
1;0.5000;diamondback, diamondback rattlesnake, Crotalus adamanteus;0.3335;water snake;0.1252;sea snake;0.0625;thunder snake, worm snake, Carphophis amoenus;0.0600;alligator lizard;0.0501;diamondback, diamondback rattlesnake, Crotalus adamanteus;0.3335;water snake;0.1252;sea snake;0.0625;thunder snake, worm snake, Carphophis amoenus;0.0600;alligator lizard;0.0501;diamondback, diamondback rattlesnake, Crotalus adamanteus;0.3335;water snake;0.1252;sea snake;0.0625;thunder snake, worm snake, Carphophis amoenus;0.0600;alligator lizard;0.0501;diamondback, diamondback rattlesnake, Crotalus adamanteus;0.3335;water snake;0.1252;sea snake;0.0625;thunder snake, worm snake, Carphophis amoenus;0.0600;alligator lizard;0.0501;diamondback, diamondback rattlesnake, Crotalus adamanteus;0.3335;water snake;0.1252;sea snake;0.0625;thunder snake, worm snake, Carphophis amoenus;0.0600;alligator lizard;0.0501;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.5000;porcupine, hedgehog;0.6019;African crocodile, Nile crocodile, Crocodylus niloticus;0.0605;beaver;0.0552;hay;0.0522;trilobite;0.0412;porcupine, hedgehog;0.6019;African crocodile, Nile crocodile, Crocodylus niloticus;0.0605;beaver;0.0552;hay;0.0522;trilobite;0.0412;porcupine, hedgehog;0.6019;African crocodile, Nile crocodile, Crocodylus niloticus;0.0605;beaver;0.0552;hay;0.0522;trilobite;0.0412;porcupine, hedgehog;0.6019;African crocodile, Nile crocodile, Crocodylus niloticus;0.0605;beaver;0.0552;hay;0.0522;trilobite;0.0412;porcupine, hedgehog;0.6019;African crocodile, Nile crocodile, Crocodylus niloticus;0.0605;beaver;0.0552;hay;0.0522;trilobite;0.0412;4;3;218;215;1;0;225;226;0;0;227;227;0;0;227;227;0;0;227;227
1;0.5000;coffee mug;0.1426;cucumber, cuke;0.0921;cup;0.0517;face powder;0.0515;ice cream, icecream;0.0307;face powder;0.1167;coffee mug;0.1008;bottlecap;0.0579;cup;0.0411;pill bottle;0.0383;coffee mug;0.1426;cucumber, cuke;0.0921;cup;0.0517;face powder;0.0515;ice cream, icecream;0.0307;coffee mug;0.1191;face powder;0.0838;cup;0.0510;cucumber, cuke;0.0492;bottlecap;0.0399;coffee mug;0.1051;face powder;0.0886;spatula;0.0472;cucumber, cuke;0.0434;pill bottle;0.0422;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.5000;dining table, board;0.1336;marimba, xylophone;0.0910;potter's wheel;0.0608;pool table, billiard table, snooker table;0.0457;mushroom;0.0338;dining table, board;0.1355;potter's wheel;0.1257;pool table, billiard table, snooker table;0.0454;birdhouse;0.0369;African chameleon, Chamaeleo chamaeleon;0.0325;potter's wheel;0.1284;African chameleon, Chamaeleo chamaeleon;0.0726;dining table, board;0.0582;mushroom;0.0500;chime, bell, gong;0.0360;potter's wheel;0.2736;African chameleon, Chamaeleo chamaeleon;0.0563;mushroom;0.0539;dining table, board;0.0413;table lamp;0.0184;dining table, board;0.1336;marimba, xylophone;0.0910;potter's wheel;0.0608;pool table, billiard table, snooker table;0.0457;mushroom;0.0338;0;0;227;227;2;8;223;218;0;0;227;227;4;11;213;210;0;0;227;227
1;0.5000;Pomeranian;0.2954;teddy, teddy bear;0.1321;hamster;0.1138;toy poodle;0.0848;Angora, Angora rabbit;0.0752;Pomeranian;0.2954;teddy, teddy bear;0.1321;hamster;0.1138;toy poodle;0.0848;Angora, Angora rabbit;0.0752;Pomeranian;0.2954;teddy, teddy bear;0.1321;hamster;0.1138;toy poodle;0.0848;Angora, Angora rabbit;0.0752;Pomeranian;0.2954;teddy, teddy bear;0.1321;hamster;0.1138;toy poodle;0.0848;Angora, Angora rabbit;0.0752;Pomeranian;0.2954;teddy, teddy bear;0.1321;hamster;0.1138;toy poodle;0.0848;Angora, Angora rabbit;0.0752;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
