sigma;thres;class1;score1;class2;score2;class3;score3;class4;score4;class5;score5;class6;score6;class7;score7;class8;score8;class9;score9;class10;score10;class11;score11;class12;score12;class13;score13;class14;score14;class15;score15;class16;score16;class17;score17;class18;score18;class19;score19;class20;score20;class21;score21;class22;score22;class23;score23;class24;score24;class25;score25;x1;y1;w1;h1;x2;y2;w2;h2;x3;y3;w3;h3;x4;y4;w4;h4;x5;y5;w5;h5
1;0.5000;water snake;0.2956;rock python, rock snake, Python sebae;0.2209;sidewinder, horned rattlesnake, Crotalus cerastes;0.0970;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;0.0760;sea snake;0.0533;water snake;0.2109;rock python, rock snake, Python sebae;0.1914;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.0907;African crocodile, Nile crocodile, Crocodylus niloticus;0.0800;sea snake;0.0767;water snake;0.3023;rock python, rock snake, Python sebae;0.2917;American alligator, Alligator mississipiensis;0.0713;African crocodile, Nile crocodile, Crocodylus niloticus;0.0666;diamondback, diamondback rattlesnake, Crotalus adamanteus;0.0496;water snake;0.3902;American alligator, Alligator mississipiensis;0.2098;rock python, rock snake, Python sebae;0.1693;African crocodile, Nile crocodile, Crocodylus niloticus;0.0762;diamondback, diamondback rattlesnake, Crotalus adamanteus;0.0397;sidewinder, horned rattlesnake, Crotalus cerastes;0.2960;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;0.2900;rock python, rock snake, Python sebae;0.1909;night snake, Hypsiglena torquata;0.0778;hognose snake, puff adder, sand viper;0.0469;0;0;227;227;0;0;227;227;1;0;226;227;1;2;226;224;2;1;225;218
1;0.5000;ski;0.9865;alp;0.0096;shovel;0.0028;ski mask;0.0009;dogsled, dog sled, dog sleigh;0.0002;ski;0.9865;alp;0.0096;shovel;0.0028;ski mask;0.0009;dogsled, dog sled, dog sleigh;0.0002;ski;0.9865;alp;0.0096;shovel;0.0028;ski mask;0.0009;dogsled, dog sled, dog sleigh;0.0002;ski;0.9865;alp;0.0096;shovel;0.0028;ski mask;0.0009;dogsled, dog sled, dog sleigh;0.0002;ski;0.9865;alp;0.0096;shovel;0.0028;ski mask;0.0009;dogsled, dog sled, dog sleigh;0.0002;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.5000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8176;collie;0.1823;borzoi, Russian wolfhound;0.0000;Afghan hound, Afghan;0.0000;Pomeranian;0.0000;Shetland sheepdog, Shetland sheep dog, Shetland;0.7688;collie;0.2311;borzoi, Russian wolfhound;0.0000;papillon;0.0000;Afghan hound, Afghan;0.0000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8176;collie;0.1823;borzoi, Russian wolfhound;0.0000;Afghan hound, Afghan;0.0000;Pomeranian;0.0000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8176;collie;0.1823;borzoi, Russian wolfhound;0.0000;Afghan hound, Afghan;0.0000;Pomeranian;0.0000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8176;collie;0.1823;borzoi, Russian wolfhound;0.0000;Afghan hound, Afghan;0.0000;Pomeranian;0.0000;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.5000;soup bowl;0.6983;eggnog;0.1497;cup;0.0526;mixing bowl;0.0338;trifle;0.0233;soup bowl;0.6983;eggnog;0.1497;cup;0.0526;mixing bowl;0.0338;trifle;0.0233;soup bowl;0.5912;eggnog;0.2639;consomme;0.0815;mixing bowl;0.0122;espresso;0.0098;soup bowl;0.6983;eggnog;0.1497;cup;0.0526;mixing bowl;0.0338;trifle;0.0233;soup bowl;0.6983;eggnog;0.1497;cup;0.0526;mixing bowl;0.0338;trifle;0.0233;21;2;197;191;21;10;203;195;17;1;204;204;55;2;142;155;21;1;190;204
1;0.5000;bassinet;0.4676;crib, cot;0.3098;cradle;0.2033;hamper;0.0052;rocking chair, rocker;0.0024;bassinet;0.4676;crib, cot;0.3098;cradle;0.2033;hamper;0.0052;rocking chair, rocker;0.0024;bassinet;0.4676;crib, cot;0.3098;cradle;0.2033;hamper;0.0052;rocking chair, rocker;0.0024;bassinet;0.4676;crib, cot;0.3098;cradle;0.2033;hamper;0.0052;rocking chair, rocker;0.0024;bassinet;0.4237;cradle;0.2679;crib, cot;0.2299;rocking chair, rocker;0.0227;folding chair;0.0070;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;13;2;213;220
1;0.5000;water snake;0.4463;hognose snake, puff adder, sand viper;0.1108;diamondback, diamondback rattlesnake, Crotalus adamanteus;0.0907;night snake, Hypsiglena torquata;0.0896;sea snake;0.0545;water snake;0.4463;hognose snake, puff adder, sand viper;0.1108;diamondback, diamondback rattlesnake, Crotalus adamanteus;0.0907;night snake, Hypsiglena torquata;0.0896;sea snake;0.0545;nematode, nematode worm, roundworm;0.4872;sidewinder, horned rattlesnake, Crotalus cerastes;0.1825;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;0.0667;sea snake;0.0644;rock python, rock snake, Python sebae;0.0445;water snake;0.4463;hognose snake, puff adder, sand viper;0.1108;diamondback, diamondback rattlesnake, Crotalus adamanteus;0.0907;night snake, Hypsiglena torquata;0.0896;sea snake;0.0545;thunder snake, worm snake, Carphophis amoenus;0.2593;night snake, Hypsiglena torquata;0.1947;sidewinder, horned rattlesnake, Crotalus cerastes;0.1927;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;0.0982;water snake;0.0552;0;0;227;227;0;0;227;227;0;0;227;226;0;0;227;227;0;0;227;227
1;0.5000;porcupine, hedgehog;0.2196;tabby, tabby cat;0.1264;tiger cat;0.0632;badger;0.0523;marmoset;0.0474;porcupine, hedgehog;0.5489;skunk, polecat, wood pussy;0.0870;marmoset;0.0741;badger;0.0347;mortar;0.0261;porcupine, hedgehog;0.8657;echidna, spiny anteater, anteater;0.0556;badger;0.0149;three-toed sloth, ai, Bradypus tridactylus;0.0144;skunk, polecat, wood pussy;0.0109;porcupine, hedgehog;0.8657;echidna, spiny anteater, anteater;0.0556;badger;0.0149;three-toed sloth, ai, Bradypus tridactylus;0.0144;skunk, polecat, wood pussy;0.0109;porcupine, hedgehog;0.8657;echidna, spiny anteater, anteater;0.0556;badger;0.0149;three-toed sloth, ai, Bradypus tridactylus;0.0144;skunk, polecat, wood pussy;0.0109;0;0;227;227;20;36;202;140;16;26;209;170;4;36;217;182;0;0;227;227
1;0.5000;face powder;0.1140;bib;0.0878;tennis ball;0.0535;plate;0.0385;purse;0.0380;face powder;0.1140;bib;0.0878;tennis ball;0.0535;plate;0.0385;purse;0.0380;face powder;0.1140;bib;0.0878;tennis ball;0.0535;plate;0.0385;purse;0.0380;tennis ball;0.1419;face powder;0.1171;nipple;0.0544;pick, plectrum, plectron;0.0529;rubber eraser, rubber, pencil eraser;0.0438;tennis ball;0.0885;Petri dish;0.0850;face powder;0.0674;pick, plectrum, plectron;0.0543;nipple;0.0461;16;4;205;222;3;4;223;221;0;0;227;227;4;4;221;222;0;0;227;227
1;0.5000;wombat;0.1905;mousetrap;0.1677;hamster;0.1536;koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus;0.0723;marmoset;0.0629;hamster;0.3722;mousetrap;0.2918;fox squirrel, eastern fox squirrel, Sciurus niger;0.0950;wombat;0.0435;beaver;0.0379;wombat;0.1581;mousetrap;0.1567;koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus;0.1264;mongoose;0.0875;marmoset;0.0779;mousetrap;0.3976;wombat;0.1700;axolotl, mud puppy, Ambystoma mexicanum;0.1190;African chameleon, Chamaeleo chamaeleon;0.0853;fox squirrel, eastern fox squirrel, Sciurus niger;0.0482;wombat;0.1581;mousetrap;0.1567;koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus;0.1264;mongoose;0.0875;marmoset;0.0779;2;19;223;170;42;48;122;67;56;52;110;53;0;13;227;214;42;48;134;132
1;0.5000;Persian cat;0.3667;Pekinese, Pekingese, Peke;0.0884;Maltese dog, Maltese terrier, Maltese;0.0866;guinea pig, Cavia cobaya;0.0833;Lhasa, Lhasa apso;0.0681;Persian cat;0.3903;hamster;0.1232;guinea pig, Cavia cobaya;0.1187;Pekinese, Pekingese, Peke;0.1082;Pomeranian;0.0593;Persian cat;0.3903;hamster;0.1232;guinea pig, Cavia cobaya;0.1187;Pekinese, Pekingese, Peke;0.1082;Pomeranian;0.0593;Persian cat;0.3903;hamster;0.1232;guinea pig, Cavia cobaya;0.1187;Pekinese, Pekingese, Peke;0.1082;Pomeranian;0.0593;Persian cat;0.3903;hamster;0.1232;guinea pig, Cavia cobaya;0.1187;Pekinese, Pekingese, Peke;0.1082;Pomeranian;0.0593;3;0;224;227;3;0;216;220;0;0;227;227;4;0;223;227;0;0;227;227
