sigma;thres;class1;score1;class2;score2;class3;score3;class4;score4;class5;score5;class6;score6;class7;score7;class8;score8;class9;score9;class10;score10;class11;score11;class12;score12;class13;score13;class14;score14;class15;score15;class16;score16;class17;score17;class18;score18;class19;score19;class20;score20;class21;score21;class22;score22;class23;score23;class24;score24;class25;score25;x1;y1;w1;h1;x2;y2;w2;h2;x3;y3;w3;h3;x4;y4;w4;h4;x5;y5;w5;h5
1;0.5000;sea snake;0.5958;water snake;0.1630;rock python, rock snake, Python sebae;0.0287;night snake, Hypsiglena torquata;0.0243;ringneck snake, ring-necked snake, ring snake;0.0236;sea snake;0.5958;water snake;0.1630;rock python, rock snake, Python sebae;0.0287;night snake, Hypsiglena torquata;0.0243;ringneck snake, ring-necked snake, ring snake;0.0236;sea snake;0.5958;water snake;0.1630;rock python, rock snake, Python sebae;0.0287;night snake, Hypsiglena torquata;0.0243;ringneck snake, ring-necked snake, ring snake;0.0236;sea snake;0.5958;water snake;0.1630;rock python, rock snake, Python sebae;0.0287;night snake, Hypsiglena torquata;0.0243;ringneck snake, ring-necked snake, ring snake;0.0236;sea snake;0.5958;water snake;0.1630;rock python, rock snake, Python sebae;0.0287;night snake, Hypsiglena torquata;0.0243;ringneck snake, ring-necked snake, ring snake;0.0236;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;alp;0.4884;ski;0.4856;mountain tent;0.0047;dogsled, dog sled, dog sleigh;0.0036;snowmobile;0.0032;alp;0.5374;ski;0.4451;dogsled, dog sled, dog sleigh;0.0026;mountain tent;0.0025;snowmobile;0.0022;alp;0.5374;ski;0.4451;dogsled, dog sled, dog sleigh;0.0026;mountain tent;0.0025;snowmobile;0.0022;alp;0.5374;ski;0.4451;dogsled, dog sled, dog sleigh;0.0026;mountain tent;0.0025;snowmobile;0.0022;alp;0.5374;ski;0.4451;dogsled, dog sled, dog sleigh;0.0026;mountain tent;0.0025;snowmobile;0.0022;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;Shetland sheepdog, Shetland sheep dog, Shetland;0.5301;collie;0.4533;borzoi, Russian wolfhound;0.0051;Afghan hound, Afghan;0.0011;papillon;0.0011;Shetland sheepdog, Shetland sheep dog, Shetland;0.5301;collie;0.4533;borzoi, Russian wolfhound;0.0051;Afghan hound, Afghan;0.0011;papillon;0.0011;Shetland sheepdog, Shetland sheep dog, Shetland;0.5301;collie;0.4533;borzoi, Russian wolfhound;0.0051;Afghan hound, Afghan;0.0011;papillon;0.0011;Shetland sheepdog, Shetland sheep dog, Shetland;0.5301;collie;0.4533;borzoi, Russian wolfhound;0.0051;Afghan hound, Afghan;0.0011;papillon;0.0011;Shetland sheepdog, Shetland sheep dog, Shetland;0.5301;collie;0.4533;borzoi, Russian wolfhound;0.0051;Afghan hound, Afghan;0.0011;papillon;0.0011;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;espresso;0.5508;cup;0.1175;soup bowl;0.1158;coffee mug;0.0394;consomme;0.0330;espresso;0.5308;soup bowl;0.1303;cup;0.1197;coffee mug;0.0405;consomme;0.0345;soup bowl;0.3492;cup;0.2549;espresso;0.1976;coffee mug;0.0607;mixing bowl;0.0256;espresso;0.5508;cup;0.1175;soup bowl;0.1158;coffee mug;0.0394;consomme;0.0330;espresso;0.5508;cup;0.1175;soup bowl;0.1158;coffee mug;0.0394;consomme;0.0330;1;1;223;223;1;0;223;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;rocking chair, rocker;0.1073;hamper;0.0990;cradle;0.0740;folding chair;0.0633;bassinet;0.0498;rocking chair, rocker;0.1073;hamper;0.0990;cradle;0.0740;folding chair;0.0633;bassinet;0.0498;rocking chair, rocker;0.1073;hamper;0.0990;cradle;0.0740;folding chair;0.0633;bassinet;0.0498;rocking chair, rocker;0.1073;hamper;0.0990;cradle;0.0740;folding chair;0.0633;bassinet;0.0498;rocking chair, rocker;0.1073;hamper;0.0990;cradle;0.0740;folding chair;0.0633;bassinet;0.0498;0;0;224;224;1;0;223;224;4;2;218;218;5;4;219;217;2;0;222;224
1;0.5000;water snake;0.4294;ringneck snake, ring-necked snake, ring snake;0.1817;sea snake;0.1374;night snake, Hypsiglena torquata;0.0615;diamondback, diamondback rattlesnake, Crotalus adamanteus;0.0587;water snake;0.4294;ringneck snake, ring-necked snake, ring snake;0.1817;sea snake;0.1374;night snake, Hypsiglena torquata;0.0615;diamondback, diamondback rattlesnake, Crotalus adamanteus;0.0587;water snake;0.3052;sea snake;0.2099;ringneck snake, ring-necked snake, ring snake;0.1472;night snake, Hypsiglena torquata;0.0865;thunder snake, worm snake, Carphophis amoenus;0.0819;water snake;0.3161;ringneck snake, ring-necked snake, ring snake;0.1957;thunder snake, worm snake, Carphophis amoenus;0.1353;night snake, Hypsiglena torquata;0.1215;sea snake;0.0990;water snake;0.4294;ringneck snake, ring-necked snake, ring snake;0.1817;sea snake;0.1374;night snake, Hypsiglena torquata;0.0615;diamondback, diamondback rattlesnake, Crotalus adamanteus;0.0587;0;22;224;199;3;2;220;202;2;2;221;220;0;0;224;224;2;1;222;222
1;0.5000;porcupine, hedgehog;0.5759;marmoset;0.1888;echidna, spiny anteater, anteater;0.0265;guenon, guenon monkey;0.0244;guinea pig, Cavia cobaya;0.0234;porcupine, hedgehog;0.5759;marmoset;0.1888;echidna, spiny anteater, anteater;0.0265;guenon, guenon monkey;0.0244;guinea pig, Cavia cobaya;0.0234;marmoset;0.3578;porcupine, hedgehog;0.2833;cock;0.0407;titi, titi monkey;0.0391;guinea pig, Cavia cobaya;0.0277;porcupine, hedgehog;0.5759;marmoset;0.1888;echidna, spiny anteater, anteater;0.0265;guenon, guenon monkey;0.0244;guinea pig, Cavia cobaya;0.0234;marmoset;0.3625;porcupine, hedgehog;0.3501;titi, titi monkey;0.0440;guenon, guenon monkey;0.0391;guinea pig, Cavia cobaya;0.0283;0;0;224;223;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;tennis ball;0.2101;bath towel;0.1403;toilet tissue, toilet paper, bathroom tissue;0.0708;diaper, nappy, napkin;0.0689;rubber eraser, rubber, pencil eraser;0.0581;tennis ball;0.2101;bath towel;0.1403;toilet tissue, toilet paper, bathroom tissue;0.0708;diaper, nappy, napkin;0.0689;rubber eraser, rubber, pencil eraser;0.0581;tennis ball;0.2101;bath towel;0.1403;toilet tissue, toilet paper, bathroom tissue;0.0708;diaper, nappy, napkin;0.0689;rubber eraser, rubber, pencil eraser;0.0581;tennis ball;0.2101;bath towel;0.1403;toilet tissue, toilet paper, bathroom tissue;0.0708;diaper, nappy, napkin;0.0689;rubber eraser, rubber, pencil eraser;0.0581;tennis ball;0.2101;bath towel;0.1403;toilet tissue, toilet paper, bathroom tissue;0.0708;diaper, nappy, napkin;0.0689;rubber eraser, rubber, pencil eraser;0.0581;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;marmot;0.1648;mousetrap;0.1377;fox squirrel, eastern fox squirrel, Sciurus niger;0.1253;birdhouse;0.0903;beaver;0.0833;mousetrap;0.1771;marmot;0.1547;fox squirrel, eastern fox squirrel, Sciurus niger;0.1187;beaver;0.0979;mongoose;0.0834;marmot;0.1611;fox squirrel, eastern fox squirrel, Sciurus niger;0.1221;mousetrap;0.1146;mongoose;0.0872;birdhouse;0.0731;marmot;0.1611;fox squirrel, eastern fox squirrel, Sciurus niger;0.1221;mousetrap;0.1146;mongoose;0.0872;birdhouse;0.0731;marmot;0.1611;fox squirrel, eastern fox squirrel, Sciurus niger;0.1221;mousetrap;0.1146;mongoose;0.0872;birdhouse;0.0731;0;0;224;224;0;0;224;224;54;63;65;68;87;89;14;10;73;68;32;31
1;0.5000;Angora, Angora rabbit;0.5626;Maltese dog, Maltese terrier, Maltese;0.1586;Persian cat;0.1313;Lhasa, Lhasa apso;0.0552;Pekinese, Pekingese, Peke;0.0203;Angora, Angora rabbit;0.5654;Maltese dog, Maltese terrier, Maltese;0.1675;Persian cat;0.1193;Lhasa, Lhasa apso;0.0503;hamster;0.0203;Angora, Angora rabbit;0.5654;Maltese dog, Maltese terrier, Maltese;0.1675;Persian cat;0.1193;Lhasa, Lhasa apso;0.0503;hamster;0.0203;Angora, Angora rabbit;0.4741;Maltese dog, Maltese terrier, Maltese;0.2198;Persian cat;0.1225;Lhasa, Lhasa apso;0.0764;Pekinese, Pekingese, Peke;0.0228;Angora, Angora rabbit;0.5654;Maltese dog, Maltese terrier, Maltese;0.1675;Persian cat;0.1193;Lhasa, Lhasa apso;0.0503;hamster;0.0203;1;0;223;224;1;0;223;223;1;0;223;223;1;1;223;220;1;0;223;223
