sigma;thres;class1;score1;class2;score2;class3;score3;class4;score4;class5;score5;class6;score6;class7;score7;class8;score8;class9;score9;class10;score10;class11;score11;class12;score12;class13;score13;class14;score14;class15;score15;class16;score16;class17;score17;class18;score18;class19;score19;class20;score20;class21;score21;class22;score22;class23;score23;class24;score24;class25;score25;x1;y1;w1;h1;x2;y2;w2;h2;x3;y3;w3;h3;x4;y4;w4;h4;x5;y5;w5;h5
1;0.5000;nematode, nematode worm, roundworm;0.0844;nail;0.0421;honeycomb;0.0333;ant, emmet, pismire;0.0326;velvet;0.0290;nematode, nematode worm, roundworm;0.0848;nail;0.0423;honeycomb;0.0334;ant, emmet, pismire;0.0329;velvet;0.0290;nematode, nematode worm, roundworm;0.0844;nail;0.0453;ant, emmet, pismire;0.0365;honeycomb;0.0323;velvet;0.0271;nematode, nematode worm, roundworm;0.0848;nail;0.0423;honeycomb;0.0334;ant, emmet, pismire;0.0329;velvet;0.0290;nematode, nematode worm, roundworm;0.0816;nail;0.0451;ant, emmet, pismire;0.0362;honeycomb;0.0314;velvet;0.0265;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.5000;nematode, nematode worm, roundworm;0.0440;ant, emmet, pismire;0.0296;nail;0.0281;promontory, headland, head, foreland;0.0272;sandbar, sand bar;0.0271;nematode, nematode worm, roundworm;0.0429;ant, emmet, pismire;0.0296;nail;0.0283;sandbar, sand bar;0.0273;promontory, headland, head, foreland;0.0267;nematode, nematode worm, roundworm;0.0429;ant, emmet, pismire;0.0296;nail;0.0283;sandbar, sand bar;0.0273;promontory, headland, head, foreland;0.0267;nematode, nematode worm, roundworm;0.0429;ant, emmet, pismire;0.0296;nail;0.0283;sandbar, sand bar;0.0273;promontory, headland, head, foreland;0.0267;nematode, nematode worm, roundworm;0.0429;ant, emmet, pismire;0.0296;nail;0.0283;sandbar, sand bar;0.0273;promontory, headland, head, foreland;0.0267;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;4;227;216
1;0.5000;spotlight, spot;0.2293;ant, emmet, pismire;0.0901;nematode, nematode worm, roundworm;0.0316;barn spider, Araneus cavaticus;0.0237;tick;0.0221;spotlight, spot;0.2293;ant, emmet, pismire;0.0901;nematode, nematode worm, roundworm;0.0316;barn spider, Araneus cavaticus;0.0237;tick;0.0221;spotlight, spot;0.2293;ant, emmet, pismire;0.0901;nematode, nematode worm, roundworm;0.0316;barn spider, Araneus cavaticus;0.0237;tick;0.0221;spotlight, spot;0.2293;ant, emmet, pismire;0.0901;nematode, nematode worm, roundworm;0.0316;barn spider, Araneus cavaticus;0.0237;tick;0.0221;spotlight, spot;0.2223;nematode, nematode worm, roundworm;0.0651;ant, emmet, pismire;0.0648;velvet;0.0212;geyser;0.0158;0;0;227;227;0;0;227;227;13;43;197;178;0;0;227;227;4;14;208;210
1;0.5000;nematode, nematode worm, roundworm;0.0676;rubber eraser, rubber, pencil eraser;0.0534;spotlight, spot;0.0453;ballpoint, ballpoint pen, ballpen, Biro;0.0438;matchstick;0.0382;nematode, nematode worm, roundworm;0.0676;rubber eraser, rubber, pencil eraser;0.0534;spotlight, spot;0.0453;ballpoint, ballpoint pen, ballpen, Biro;0.0438;matchstick;0.0382;nematode, nematode worm, roundworm;0.0676;rubber eraser, rubber, pencil eraser;0.0534;spotlight, spot;0.0453;ballpoint, ballpoint pen, ballpen, Biro;0.0438;matchstick;0.0382;nematode, nematode worm, roundworm;0.0678;rubber eraser, rubber, pencil eraser;0.0535;spotlight, spot;0.0452;ballpoint, ballpoint pen, ballpen, Biro;0.0439;matchstick;0.0382;nematode, nematode worm, roundworm;0.0676;rubber eraser, rubber, pencil eraser;0.0534;spotlight, spot;0.0453;ballpoint, ballpoint pen, ballpen, Biro;0.0438;matchstick;0.0382;0;0;227;227;0;0;227;222;0;0;227;227;0;0;225;221;0;0;227;226
1;0.5000;spotlight, spot;0.1542;ballpoint, ballpoint pen, ballpen, Biro;0.0433;rubber eraser, rubber, pencil eraser;0.0318;ant, emmet, pismire;0.0310;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.0307;spotlight, spot;0.1232;tick;0.0772;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.0503;ant, emmet, pismire;0.0486;ballpoint, ballpoint pen, ballpen, Biro;0.0452;spotlight, spot;0.1543;ballpoint, ballpoint pen, ballpen, Biro;0.0433;rubber eraser, rubber, pencil eraser;0.0318;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.0311;ant, emmet, pismire;0.0307;spotlight, spot;0.1552;ballpoint, ballpoint pen, ballpen, Biro;0.0432;rubber eraser, rubber, pencil eraser;0.0321;ant, emmet, pismire;0.0307;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.0306;spotlight, spot;0.1552;ballpoint, ballpoint pen, ballpen, Biro;0.0432;rubber eraser, rubber, pencil eraser;0.0321;ant, emmet, pismire;0.0307;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.0306;3;0;224;227;8;4;209;215;0;0;227;227;5;2;212;222;11;3;204;221
1;0.5000;wing;0.0777;geyser;0.0210;rule, ruler;0.0164;rapeseed;0.0163;rubber eraser, rubber, pencil eraser;0.0136;wing;0.0556;geyser;0.0245;rule, ruler;0.0176;rapeseed;0.0163;rubber eraser, rubber, pencil eraser;0.0147;wing;0.0777;geyser;0.0210;rule, ruler;0.0164;rapeseed;0.0163;rubber eraser, rubber, pencil eraser;0.0136;wing;0.1335;rule, ruler;0.0148;syringe;0.0143;airship, dirigible;0.0140;seashore, coast, seacoast, sea-coast;0.0139;wing;0.0777;geyser;0.0210;rule, ruler;0.0164;rapeseed;0.0163;rubber eraser, rubber, pencil eraser;0.0136;9;5;212;212;90;13;113;162;0;0;227;227;0;0;227;227;0;0;227;227
1;0.5000;tick;0.0997;ant, emmet, pismire;0.0895;nematode, nematode worm, roundworm;0.0735;screw;0.0643;nail;0.0316;tick;0.1111;ant, emmet, pismire;0.1003;nematode, nematode worm, roundworm;0.0814;screw;0.0642;syringe;0.0300;tick;0.0832;ant, emmet, pismire;0.0825;nematode, nematode worm, roundworm;0.0739;screw;0.0671;nail;0.0371;nematode, nematode worm, roundworm;0.1058;ant, emmet, pismire;0.0820;screw;0.0611;tick;0.0528;syringe;0.0380;nematode, nematode worm, roundworm;0.1443;screw;0.0505;spotlight, spot;0.0453;velvet;0.0409;ant, emmet, pismire;0.0366;0;0;227;227;106;110;6;4;0;0;227;227;1;2;223;223;21;104;92;103
1;0.5000;spotlight, spot;0.2134;ant, emmet, pismire;0.0550;lampshade, lamp shade;0.0387;matchstick;0.0337;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.0259;spotlight, spot;0.2134;ant, emmet, pismire;0.0550;lampshade, lamp shade;0.0387;matchstick;0.0337;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.0259;spotlight, spot;0.2134;ant, emmet, pismire;0.0550;lampshade, lamp shade;0.0387;matchstick;0.0337;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.0259;spotlight, spot;0.2134;ant, emmet, pismire;0.0550;lampshade, lamp shade;0.0387;matchstick;0.0337;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.0259;spotlight, spot;0.2106;ant, emmet, pismire;0.0557;lampshade, lamp shade;0.0387;matchstick;0.0340;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.0266;0;0;227;227;3;4;213;220;0;0;227;227;0;0;227;227;0;0;227;227
1;0.5000;ant, emmet, pismire;0.1893;rapeseed;0.1031;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.1007;spider web, spider's web;0.0218;lacewing, lacewing fly;0.0203;ant, emmet, pismire;0.1893;rapeseed;0.1031;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.1007;spider web, spider's web;0.0218;lacewing, lacewing fly;0.0203;ant, emmet, pismire;0.1893;rapeseed;0.1031;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.1007;spider web, spider's web;0.0218;lacewing, lacewing fly;0.0203;ant, emmet, pismire;0.1893;rapeseed;0.1031;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.1007;spider web, spider's web;0.0218;lacewing, lacewing fly;0.0203;ant, emmet, pismire;0.1863;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;0.1124;rapeseed;0.0878;spider web, spider's web;0.0265;lacewing, lacewing fly;0.0240;0;0;227;227;0;6;227;219;2;4;225;221;104;105;18;15;110;106;11;14
1;0.5000;nematode, nematode worm, roundworm;0.1555;ant, emmet, pismire;0.1060;velvet;0.0938;spotlight, spot;0.0242;nail;0.0221;nematode, nematode worm, roundworm;0.1555;ant, emmet, pismire;0.1060;velvet;0.0938;spotlight, spot;0.0242;nail;0.0221;nematode, nematode worm, roundworm;0.1555;ant, emmet, pismire;0.1060;velvet;0.0938;spotlight, spot;0.0242;nail;0.0221;nematode, nematode worm, roundworm;0.1550;ant, emmet, pismire;0.1059;velvet;0.0937;spotlight, spot;0.0242;nail;0.0222;nematode, nematode worm, roundworm;0.1555;ant, emmet, pismire;0.1060;velvet;0.0938;spotlight, spot;0.0242;nail;0.0221;0;0;227;227;0;0;227;227;1;2;224;223;0;0;227;227;0;0;227;227
