sigma;thres;class1;score1;class2;score2;class3;score3;class4;score4;class5;score5;class6;score6;class7;score7;class8;score8;class9;score9;class10;score10;class11;score11;class12;score12;class13;score13;class14;score14;class15;score15;class16;score16;class17;score17;class18;score18;class19;score19;class20;score20;class21;score21;class22;score22;class23;score23;class24;score24;class25;score25;x1;y1;w1;h1;x2;y2;w2;h2;x3;y3;w3;h3;x4;y4;w4;h4;x5;y5;w5;h5
1;0.5000;envelope;0.1118;Band Aid;0.0468;paper towel;0.0366;nail;0.0330;wool, woolen, woollen;0.0327;envelope;0.1110;Band Aid;0.0485;paper towel;0.0419;wool, woolen, woollen;0.0374;nail;0.0323;envelope;0.1108;Band Aid;0.0487;paper towel;0.0417;wool, woolen, woollen;0.0373;nail;0.0323;envelope;0.1108;Band Aid;0.0487;paper towel;0.0417;wool, woolen, woollen;0.0373;nail;0.0323;envelope;0.1108;Band Aid;0.0487;paper towel;0.0417;wool, woolen, woollen;0.0373;nail;0.0323;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.5000;matchstick;0.0722;envelope;0.0544;ant, emmet, pismire;0.0299;syringe;0.0282;spotlight, spot;0.0256;matchstick;0.0722;envelope;0.0544;ant, emmet, pismire;0.0299;syringe;0.0282;spotlight, spot;0.0256;matchstick;0.0722;envelope;0.0544;ant, emmet, pismire;0.0299;syringe;0.0282;spotlight, spot;0.0256;matchstick;0.0722;envelope;0.0544;ant, emmet, pismire;0.0299;syringe;0.0282;spotlight, spot;0.0256;matchstick;0.0722;envelope;0.0544;ant, emmet, pismire;0.0299;syringe;0.0282;spotlight, spot;0.0256;47;65;7;9;8;52;181;110;0;0;227;227;0;0;227;227;0;0;227;227
1;0.5000;spotlight, spot;0.5587;matchstick;0.1108;shower curtain;0.0216;bubble;0.0168;velvet;0.0080;spotlight, spot;0.5629;matchstick;0.1097;shower curtain;0.0214;bubble;0.0168;velvet;0.0078;spotlight, spot;0.5573;matchstick;0.1113;shower curtain;0.0217;bubble;0.0168;velvet;0.0080;spotlight, spot;0.5641;matchstick;0.1091;shower curtain;0.0214;bubble;0.0169;velvet;0.0076;spotlight, spot;0.5833;matchstick;0.0948;shower curtain;0.0215;bubble;0.0187;loupe, jeweler's loupe;0.0075;39;56;139;169;49;56;129;116;51;68;3;2;52;68;2;2;0;0;227;227
1;0.5000;spotlight, spot;0.3334;matchstick;0.2140;rubber eraser, rubber, pencil eraser;0.0309;screwdriver;0.0256;syringe;0.0224;spotlight, spot;0.3334;matchstick;0.2140;rubber eraser, rubber, pencil eraser;0.0309;screwdriver;0.0256;syringe;0.0224;spotlight, spot;0.3334;matchstick;0.2140;rubber eraser, rubber, pencil eraser;0.0309;screwdriver;0.0256;syringe;0.0224;spotlight, spot;0.3334;matchstick;0.2140;rubber eraser, rubber, pencil eraser;0.0309;screwdriver;0.0256;syringe;0.0224;spotlight, spot;0.3334;matchstick;0.2140;rubber eraser, rubber, pencil eraser;0.0309;screwdriver;0.0256;syringe;0.0224;0;0;227;227;0;0;227;227;51;67;1;2;51;67;1;2;51;67;1;2
1;0.5000;spotlight, spot;0.3136;matchstick;0.1901;shower curtain;0.1146;paper towel;0.0285;lampshade, lamp shade;0.0233;spotlight, spot;0.3136;matchstick;0.1901;shower curtain;0.1146;paper towel;0.0285;lampshade, lamp shade;0.0233;spotlight, spot;0.3910;matchstick;0.1647;shower curtain;0.1100;paper towel;0.0231;rubber eraser, rubber, pencil eraser;0.0176;spotlight, spot;0.3143;matchstick;0.1903;shower curtain;0.1144;paper towel;0.0283;lampshade, lamp shade;0.0233;spotlight, spot;0.3136;matchstick;0.1901;shower curtain;0.1146;paper towel;0.0285;lampshade, lamp shade;0.0233;19;1;200;226;16;1;211;226;1;0;226;227;21;42;198;185;28;79;191;148
1;0.5000;matchstick;0.0800;spotlight, spot;0.0735;nail;0.0639;ant, emmet, pismire;0.0506;screw;0.0404;matchstick;0.0800;spotlight, spot;0.0735;nail;0.0639;ant, emmet, pismire;0.0506;screw;0.0404;matchstick;0.0800;spotlight, spot;0.0735;nail;0.0639;ant, emmet, pismire;0.0506;screw;0.0404;matchstick;0.0800;spotlight, spot;0.0735;nail;0.0639;ant, emmet, pismire;0.0506;screw;0.0404;matchstick;0.0800;spotlight, spot;0.0735;nail;0.0639;ant, emmet, pismire;0.0506;screw;0.0404;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227
1;0.5000;spotlight, spot;0.3919;matchstick;0.1040;shower curtain;0.0255;lampshade, lamp shade;0.0171;nail;0.0165;spotlight, spot;0.3919;matchstick;0.1040;shower curtain;0.0255;lampshade, lamp shade;0.0171;nail;0.0165;spotlight, spot;0.3919;matchstick;0.1040;shower curtain;0.0255;lampshade, lamp shade;0.0171;nail;0.0165;spotlight, spot;0.3919;matchstick;0.1040;shower curtain;0.0255;lampshade, lamp shade;0.0171;nail;0.0165;spotlight, spot;0.3919;matchstick;0.1040;shower curtain;0.0255;lampshade, lamp shade;0.0171;nail;0.0165;0;0;227;227;0;0;227;227;0;0;227;227;0;13;227;214;0;0;227;227
1;0.5000;spotlight, spot;0.5950;matchstick;0.1455;bubble;0.0204;shower curtain;0.0142;red wine;0.0122;spotlight, spot;0.5950;matchstick;0.1455;bubble;0.0204;shower curtain;0.0142;red wine;0.0122;spotlight, spot;0.5950;matchstick;0.1455;bubble;0.0204;shower curtain;0.0142;red wine;0.0122;spotlight, spot;0.5950;matchstick;0.1455;bubble;0.0204;shower curtain;0.0142;red wine;0.0122;spotlight, spot;0.5950;matchstick;0.1455;bubble;0.0204;shower curtain;0.0142;red wine;0.0122;0;0;227;227;0;0;227;227;0;0;227;227;1;0;226;227;0;0;227;227
1;0.5000;velvet;0.0646;ant, emmet, pismire;0.0503;nail;0.0440;tile roof;0.0426;honeycomb;0.0414;velvet;0.0646;ant, emmet, pismire;0.0503;nail;0.0440;tile roof;0.0426;honeycomb;0.0414;velvet;0.0646;ant, emmet, pismire;0.0503;nail;0.0440;tile roof;0.0426;honeycomb;0.0414;velvet;0.0646;ant, emmet, pismire;0.0503;nail;0.0440;tile roof;0.0426;honeycomb;0.0414;velvet;0.0647;ant, emmet, pismire;0.0503;nail;0.0440;tile roof;0.0425;honeycomb;0.0413;0;0;227;227;0;0;227;227;0;0;227;227;0;0;227;227;2;1;225;226
1;0.5000;matchstick;0.2886;spotlight, spot;0.1183;rubber eraser, rubber, pencil eraser;0.0420;shower curtain;0.0213;screwdriver;0.0189;matchstick;0.2885;spotlight, spot;0.1180;rubber eraser, rubber, pencil eraser;0.0420;shower curtain;0.0213;screwdriver;0.0188;matchstick;0.2886;spotlight, spot;0.1185;rubber eraser, rubber, pencil eraser;0.0420;shower curtain;0.0213;screwdriver;0.0189;matchstick;0.2885;spotlight, spot;0.1179;rubber eraser, rubber, pencil eraser;0.0420;shower curtain;0.0214;screwdriver;0.0188;matchstick;0.2886;spotlight, spot;0.1185;rubber eraser, rubber, pencil eraser;0.0420;shower curtain;0.0213;screwdriver;0.0189;0;0;227;227;50;2;177;224;0;0;227;227;0;0;227;227;2;2;225;225
