sigma;thres;class1;score1;class2;score2;class3;score3;class4;score4;class5;score5;class6;score6;class7;score7;class8;score8;class9;score9;class10;score10;class11;score11;class12;score12;class13;score13;class14;score14;class15;score15;class16;score16;class17;score17;class18;score18;class19;score19;class20;score20;class21;score21;class22;score22;class23;score23;class24;score24;class25;score25;x1;y1;w1;h1;x2;y2;w2;h2;x3;y3;w3;h3;x4;y4;w4;h4;x5;y5;w5;h5
1;0.5000;cleaver, meat cleaver, chopper;0.0353;kite;0.0182;black stork, Ciconia nigra;0.0176;ballpoint, ballpoint pen, ballpen, Biro;0.0124;screw;0.0108;cleaver, meat cleaver, chopper;0.0353;kite;0.0182;black stork, Ciconia nigra;0.0176;ballpoint, ballpoint pen, ballpen, Biro;0.0124;screw;0.0108;cleaver, meat cleaver, chopper;0.0353;kite;0.0182;black stork, Ciconia nigra;0.0176;ballpoint, ballpoint pen, ballpen, Biro;0.0124;screw;0.0108;cleaver, meat cleaver, chopper;0.0353;kite;0.0182;black stork, Ciconia nigra;0.0176;ballpoint, ballpoint pen, ballpen, Biro;0.0124;screw;0.0108;cleaver, meat cleaver, chopper;0.0353;kite;0.0182;black stork, Ciconia nigra;0.0176;ballpoint, ballpoint pen, ballpen, Biro;0.0124;screw;0.0108;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;cleaver, meat cleaver, chopper;0.1287;spatula;0.0287;ballpoint, ballpoint pen, ballpen, Biro;0.0273;letter opener, paper knife, paperknife;0.0262;hatchet;0.0252;cleaver, meat cleaver, chopper;0.1293;spatula;0.0286;ballpoint, ballpoint pen, ballpen, Biro;0.0274;letter opener, paper knife, paperknife;0.0263;hatchet;0.0253;cleaver, meat cleaver, chopper;0.1293;spatula;0.0286;ballpoint, ballpoint pen, ballpen, Biro;0.0274;letter opener, paper knife, paperknife;0.0263;hatchet;0.0253;cleaver, meat cleaver, chopper;0.1287;spatula;0.0287;ballpoint, ballpoint pen, ballpen, Biro;0.0273;letter opener, paper knife, paperknife;0.0262;hatchet;0.0252;cleaver, meat cleaver, chopper;0.1293;spatula;0.0286;ballpoint, ballpoint pen, ballpen, Biro;0.0274;letter opener, paper knife, paperknife;0.0263;hatchet;0.0253;0;0;224;224;0;0;224;222;0;0;224;224;0;0;224;223;0;0;224;224
1;0.5000;pill bottle;0.0344;hourglass;0.0251;matchstick;0.0250;ping-pong ball;0.0198;milk can;0.0195;pill bottle;0.0344;hourglass;0.0251;matchstick;0.0250;ping-pong ball;0.0198;milk can;0.0195;pill bottle;0.0344;hourglass;0.0251;matchstick;0.0250;ping-pong ball;0.0198;milk can;0.0195;pill bottle;0.0344;hourglass;0.0251;matchstick;0.0250;ping-pong ball;0.0198;milk can;0.0195;pill bottle;0.0344;hourglass;0.0251;matchstick;0.0250;ping-pong ball;0.0198;milk can;0.0195;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;ping-pong ball;0.0401;matchstick;0.0358;ballpoint, ballpoint pen, ballpen, Biro;0.0327;eggnog;0.0294;hourglass;0.0289;ping-pong ball;0.0401;matchstick;0.0358;ballpoint, ballpoint pen, ballpen, Biro;0.0327;eggnog;0.0294;hourglass;0.0289;ping-pong ball;0.0401;matchstick;0.0351;ballpoint, ballpoint pen, ballpen, Biro;0.0322;eggnog;0.0297;hourglass;0.0291;ping-pong ball;0.0401;matchstick;0.0358;ballpoint, ballpoint pen, ballpen, Biro;0.0327;eggnog;0.0294;hourglass;0.0289;ping-pong ball;0.0401;matchstick;0.0358;ballpoint, ballpoint pen, ballpen, Biro;0.0327;eggnog;0.0294;hourglass;0.0289;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;matchstick;0.0988;lipstick, lip rouge;0.0611;face powder;0.0451;maraca;0.0425;ping-pong ball;0.0271;matchstick;0.0988;lipstick, lip rouge;0.0611;face powder;0.0451;maraca;0.0425;ping-pong ball;0.0271;matchstick;0.0988;lipstick, lip rouge;0.0611;face powder;0.0451;maraca;0.0425;ping-pong ball;0.0271;matchstick;0.0988;lipstick, lip rouge;0.0611;face powder;0.0451;maraca;0.0425;ping-pong ball;0.0271;matchstick;0.0988;lipstick, lip rouge;0.0611;face powder;0.0451;maraca;0.0425;ping-pong ball;0.0271;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;tennis ball;0.0301;ballpoint, ballpoint pen, ballpen, Biro;0.0206;baseball;0.0170;American egret, great white heron, Egretta albus;0.0159;golf ball;0.0128;tennis ball;0.0301;ballpoint, ballpoint pen, ballpen, Biro;0.0206;baseball;0.0170;American egret, great white heron, Egretta albus;0.0159;golf ball;0.0128;tennis ball;0.0301;ballpoint, ballpoint pen, ballpen, Biro;0.0206;baseball;0.0170;American egret, great white heron, Egretta albus;0.0159;golf ball;0.0128;tennis ball;0.0300;ballpoint, ballpoint pen, ballpen, Biro;0.0205;baseball;0.0169;American egret, great white heron, Egretta albus;0.0159;golf ball;0.0127;tennis ball;0.0300;ballpoint, ballpoint pen, ballpen, Biro;0.0209;baseball;0.0170;American egret, great white heron, Egretta albus;0.0158;golf ball;0.0129;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;whiskey jug;0.0337;black grouse;0.0266;hair spray;0.0211;ping-pong ball;0.0199;ballpoint, ballpoint pen, ballpen, Biro;0.0179;whiskey jug;0.0337;black grouse;0.0260;ping-pong ball;0.0205;hair spray;0.0203;ballpoint, ballpoint pen, ballpen, Biro;0.0176;whiskey jug;0.0337;black grouse;0.0266;hair spray;0.0211;ping-pong ball;0.0199;ballpoint, ballpoint pen, ballpen, Biro;0.0179;whiskey jug;0.0337;black grouse;0.0266;hair spray;0.0211;ping-pong ball;0.0199;ballpoint, ballpoint pen, ballpen, Biro;0.0179;whiskey jug;0.0337;black grouse;0.0260;ping-pong ball;0.0205;hair spray;0.0203;ballpoint, ballpoint pen, ballpen, Biro;0.0176;0;0;224;224;0;0;224;224;0;1;224;223;0;0;224;224;0;2;224;222
1;0.5000;hair spray;0.0751;matchstick;0.0527;hourglass;0.0470;lipstick, lip rouge;0.0420;ballpoint, ballpoint pen, ballpen, Biro;0.0226;hair spray;0.0751;matchstick;0.0527;hourglass;0.0470;lipstick, lip rouge;0.0420;ballpoint, ballpoint pen, ballpen, Biro;0.0226;hair spray;0.0751;matchstick;0.0527;hourglass;0.0470;lipstick, lip rouge;0.0420;ballpoint, ballpoint pen, ballpen, Biro;0.0226;hair spray;0.0751;matchstick;0.0527;hourglass;0.0470;lipstick, lip rouge;0.0420;ballpoint, ballpoint pen, ballpen, Biro;0.0226;hair spray;0.0751;matchstick;0.0527;hourglass;0.0470;lipstick, lip rouge;0.0420;ballpoint, ballpoint pen, ballpen, Biro;0.0226;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;hatchet;0.0549;cleaver, meat cleaver, chopper;0.0314;ballpoint, ballpoint pen, ballpen, Biro;0.0236;vine snake;0.0177;letter opener, paper knife, paperknife;0.0168;hatchet;0.0549;cleaver, meat cleaver, chopper;0.0314;ballpoint, ballpoint pen, ballpen, Biro;0.0236;vine snake;0.0177;letter opener, paper knife, paperknife;0.0168;hatchet;0.0549;cleaver, meat cleaver, chopper;0.0314;ballpoint, ballpoint pen, ballpen, Biro;0.0236;vine snake;0.0177;letter opener, paper knife, paperknife;0.0168;hatchet;0.0549;cleaver, meat cleaver, chopper;0.0314;ballpoint, ballpoint pen, ballpen, Biro;0.0236;vine snake;0.0177;letter opener, paper knife, paperknife;0.0168;hatchet;0.0549;cleaver, meat cleaver, chopper;0.0314;ballpoint, ballpoint pen, ballpen, Biro;0.0236;vine snake;0.0177;letter opener, paper knife, paperknife;0.0168;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
1;0.5000;matchstick;0.0549;goldfish, Carassius auratus;0.0380;consomme;0.0321;eggnog;0.0255;pick, plectrum, plectron;0.0232;matchstick;0.0549;goldfish, Carassius auratus;0.0380;consomme;0.0321;eggnog;0.0255;pick, plectrum, plectron;0.0233;matchstick;0.0549;goldfish, Carassius auratus;0.0380;consomme;0.0321;eggnog;0.0255;pick, plectrum, plectron;0.0233;matchstick;0.0549;goldfish, Carassius auratus;0.0380;consomme;0.0321;eggnog;0.0255;pick, plectrum, plectron;0.0233;matchstick;0.0549;goldfish, Carassius auratus;0.0380;consomme;0.0321;eggnog;0.0255;pick, plectrum, plectron;0.0233;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224;0;0;224;224
