sigma;thres;class1;score1;x1;y1;w1;h1;class2;score2;x2;y2;w2;h2;class3;score3;x3;y3;w3;h3;class4;score4;x4;y4;w4;h4;class5;score5;x5;y5;w5;h5
1;0.0000;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.2198;0;0;227;227;sea snake;0.1757;0;0;227;227;water snake;0.1609;0;0;227;227;loggerhead, loggerhead turtle, Caretta caretta;0.0605;0;0;227;227;puffer, pufferfish, blowfish, globefish;0.0397;0;0;227;227
1;0.0000;dogsled, dog sled, dog sleigh;0.3069;0;0;227;227;alp;0.2709;0;0;227;227;ski;0.1333;0;0;227;227;Irish wolfhound;0.1163;0;0;227;227;Scottish deerhound, deerhound;0.0505;0;0;227;227
1;0.0000;Shetland sheepdog, Shetland sheep dog, Shetland;0.7931;0;0;227;227;collie;0.1950;0;0;227;227;papillon;0.0101;0;0;227;227;borzoi, Russian wolfhound;0.0005;0;0;227;227;Pembroke, Pembroke Welsh corgi;0.0003;0;0;227;227
1;0.0000;espresso;0.3292;0;0;227;227;cup;0.1613;0;0;227;227;eggnog;0.1293;0;0;227;227;beer glass;0.1034;0;0;227;227;mixing bowl;0.0641;0;0;227;227
1;0.0000;cradle;0.1039;0;0;227;227;crib, cot;0.0798;0;0;227;227;hamper;0.0790;0;0;227;227;bassinet;0.0418;0;0;227;227;studio couch, day bed;0.0382;0;0;227;227
1;0.0000;thunder snake, worm snake, Carphophis amoenus;0.3076;0;0;227;227;ringneck snake, ring-necked snake, ring snake;0.2138;0;0;227;227;water snake;0.1391;0;0;227;227;sea snake;0.0729;0;0;227;227;night snake, Hypsiglena torquata;0.0423;0;0;227;227
1;0.0000;tiger, Panthera tigris;0.2329;0;0;227;227;porcupine, hedgehog;0.0778;0;0;227;227;tiger cat;0.0718;0;0;227;227;Tibetan terrier, chrysanthemum dog;0.0657;0;0;227;227;guinea pig, Cavia cobaya;0.0396;0;0;227;227
1;0.0000;face powder;0.1379;0;0;227;227;coffee mug;0.1221;0;0;227;227;bottlecap;0.0440;0;0;227;227;pick, plectrum, plectron;0.0415;0;0;227;227;rubber eraser, rubber, pencil eraser;0.0375;0;0;227;227
1;0.0000;dining table, board;0.3032;0;0;227;227;potter's wheel;0.0860;0;0;227;227;pool table, billiard table, snooker table;0.0653;0;0;227;227;table lamp;0.0476;0;0;227;227;desk;0.0427;0;0;227;227
1;0.0000;Angora, Angora rabbit;0.1956;0;0;227;227;Pomeranian;0.1836;0;0;227;227;toy poodle;0.1385;0;0;227;227;hamster;0.0908;0;0;227;227;teddy, teddy bear;0.0825;0;0;227;227
