sigma;thres;class1;score1;x1;y1;w1;h1;class2;score2;x2;y2;w2;h2;class3;score3;x3;y3;w3;h3;class4;score4;x4;y4;w4;h4;class5;score5;x5;y5;w5;h5
1;0.0000;water snake;0.2646;0;0;227;227;American alligator, Alligator mississipiensis;0.1818;0;0;227;227;rock python, rock snake, Python sebae;0.1336;0;0;227;227;African crocodile, Nile crocodile, Crocodylus niloticus;0.0992;0;0;227;227;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.0725;0;0;227;227
1;0.0000;ski;0.9651;0;0;227;227;alp;0.0216;0;0;227;227;shovel;0.0083;0;0;227;227;ski mask;0.0045;0;0;227;227;dogsled, dog sled, dog sleigh;0.0001;0;0;227;227
1;0.0000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8434;0;0;227;227;collie;0.1564;0;0;227;227;papillon;0.0001;0;0;227;227;borzoi, Russian wolfhound;0.0000;0;0;227;227;Border collie;0.0000;0;0;227;227
1;0.0000;eggnog;0.6121;0;0;227;227;soup bowl;0.1974;0;0;227;227;consomme;0.0482;0;0;227;227;cup;0.0464;0;0;227;227;mixing bowl;0.0340;0;0;227;227
1;0.0000;bassinet;0.5842;0;0;227;227;crib, cot;0.1851;0;0;227;227;cradle;0.1783;0;0;227;227;hamper;0.0124;0;0;227;227;rocking chair, rocker;0.0044;0;0;227;227
1;0.0000;sidewinder, horned rattlesnake, Crotalus cerastes;0.2026;0;0;227;227;night snake, Hypsiglena torquata;0.1706;0;0;227;227;water snake;0.1541;0;0;227;227;sea snake;0.1346;0;0;227;227;hognose snake, puff adder, sand viper;0.0757;0;0;227;227
1;0.0000;marmoset;0.2012;0;0;227;227;Tibetan terrier, chrysanthemum dog;0.0978;0;0;227;227;porcupine, hedgehog;0.0782;0;0;227;227;tabby, tabby cat;0.0533;0;0;227;227;titi, titi monkey;0.0506;0;0;227;227
1;0.0000;face powder;0.2590;0;0;227;227;pick, plectrum, plectron;0.1163;0;0;227;227;tennis ball;0.0907;0;0;227;227;nipple;0.0774;0;0;227;227;Petri dish;0.0737;0;0;227;227
1;0.0000;wombat;0.2909;0;0;227;227;mousetrap;0.1658;0;0;227;227;fox squirrel, eastern fox squirrel, Sciurus niger;0.0821;0;0;227;227;hamster;0.0657;0;0;227;227;koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus;0.0405;0;0;227;227
1;0.0000;Persian cat;0.1964;0;0;227;227;Pekinese, Pekingese, Peke;0.1690;0;0;227;227;Maltese dog, Maltese terrier, Maltese;0.1224;0;0;227;227;Lhasa, Lhasa apso;0.0993;0;0;227;227;hamster;0.0971;0;0;227;227
1;0.0000;brain coral;0.9889;0;0;227;227;coral reef;0.0067;0;0;227;227;electric ray, crampfish, numbfish, torpedo;0.0028;0;0;227;227;puffer, pufferfish, blowfish, globefish;0.0006;0;0;227;227;stingray;0.0004;0;0;227;227
1;0.0000;cougar, puma, catamount, mountain lion, painter, panther, Felis concolor;0.9986;0;0;227;227;lynx, catamount;0.0013;0;0;227;227;lion, king of beasts, Panthera leo;0.0000;0;0;227;227;jaguar, panther, Panthera onca, Felis onca;0.0000;0;0;227;227;Egyptian cat;0.0000;0;0;227;227
1;0.0000;guenon, guenon monkey;0.8048;0;0;227;227;patas, hussar monkey, Erythrocebus patas;0.1897;0;0;227;227;titi, titi monkey;0.0026;0;0;227;227;colobus, colobus monkey;0.0013;0;0;227;227;macaque;0.0005;0;0;227;227
1;0.0000;recreational vehicle, RV, R.V.;0.9957;0;0;227;227;minibus;0.0028;0;0;227;227;mobile home, manufactured home;0.0005;0;0;227;227;moving van;0.0004;0;0;227;227;ambulance;0.0004;0;0;227;227
1;0.0000;harvester, reaper;0.9308;0;0;227;227;thresher, thrasher, threshing machine;0.0577;0;0;227;227;tractor;0.0055;0;0;227;227;plow, plough;0.0036;0;0;227;227;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.0007;0;0;227;227
1;0.0000;grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus;0.9614;0;0;227;227;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.0378;0;0;227;227;killer whale, killer, orca, grampus, sea wolf, Orcinus orca;0.0004;0;0;227;227;dugong, Dugong dugon;0.0001;0;0;227;227;sea lion;0.0001;0;0;227;227
1;0.0000;goldfish, Carassius auratus;0.7974;0;0;227;227;fire screen, fireguard;0.1445;0;0;227;227;axolotl, mud puppy, Ambystoma mexicanum;0.0182;0;0;227;227;volcano;0.0047;0;0;227;227;eft;0.0035;0;0;227;227
1;0.0000;kite;0.9786;0;0;227;227;vulture;0.0121;0;0;227;227;coucal;0.0037;0;0;227;227;bald eagle, American eagle, Haliaeetus leucocephalus;0.0029;0;0;227;227;limpkin, Aramus pictus;0.0011;0;0;227;227
1;0.0000;carton;0.7869;0;0;227;227;crate;0.1438;0;0;227;227;chest;0.0232;0;0;227;227;file, file cabinet, filing cabinet;0.0219;0;0;227;227;envelope;0.0034;0;0;227;227
1;0.0000;crane;0.9966;0;0;227;227;steel arch bridge;0.0021;0;0;227;227;drilling platform, offshore rig;0.0006;0;0;227;227;pier;0.0002;0;0;227;227;hook, claw;0.0002;0;0;227;227
1;0.0000;porcupine, hedgehog;0.5198;0;0;227;227;limpkin, Aramus pictus;0.1561;0;0;227;227;titi, titi monkey;0.0675;0;0;227;227;marmoset;0.0546;0;0;227;227;baboon;0.0486;0;0;227;227
1;0.0000;English foxhound;0.3091;0;0;227;227;Ibizan hound, Ibizan Podenco;0.2393;0;0;227;227;Saluki, gazelle hound;0.0597;0;0;227;227;German short-haired pointer;0.0455;0;0;227;227;Walker hound, Walker foxhound;0.0349;0;0;227;227
1;0.0000;Granny Smith;0.9991;0;0;227;227;bell pepper;0.0005;0;0;227;227;candle, taper, wax light;0.0002;0;0;227;227;fig;0.0000;0;0;227;227;banana;0.0000;0;0;227;227
1;0.0000;planetarium;1.0000;0;0;227;227;dome;0.0000;0;0;227;227;mosque;0.0000;0;0;227;227;stupa, tope;0.0000;0;0;227;227;water tower;0.0000;0;0;227;227
1;0.0000;vulture;0.5496;0;0;227;227;black grouse;0.2280;0;0;227;227;ruffed grouse, partridge, Bonasa umbellus;0.1011;0;0;227;227;partridge;0.0927;0;0;227;227;prairie chicken, prairie grouse, prairie fowl;0.0118;0;0;227;227
1;0.0000;table lamp;0.9622;0;0;227;227;lampshade, lamp shade;0.0201;0;0;227;227;pedestal, plinth, footstall;0.0054;0;0;227;227;birdhouse;0.0020;0;0;227;227;altar;0.0018;0;0;227;227
1;0.0000;white wolf, Arctic wolf, Canis lupus tundrarum;0.9889;0;0;227;227;timber wolf, grey wolf, gray wolf, Canis lupus;0.0089;0;0;227;227;Arctic fox, white fox, Alopex lagopus;0.0021;0;0;227;227;dingo, warrigal, warragal, Canis dingo;0.0001;0;0;227;227;red wolf, maned wolf, Canis rufus, Canis niger;0.0000;0;0;227;227
1;0.0000;Walker hound, Walker foxhound;0.2555;0;0;227;227;beagle;0.2319;0;0;227;227;English foxhound;0.1412;0;0;227;227;Cardigan, Cardigan Welsh corgi;0.1020;0;0;227;227;Pembroke, Pembroke Welsh corgi;0.0461;0;0;227;227
1;0.0000;green mamba;0.7662;0;0;227;227;vine snake;0.1327;0;0;227;227;green snake, grass snake;0.0468;0;0;227;227;night snake, Hypsiglena torquata;0.0372;0;0;227;227;sidewinder, horned rattlesnake, Crotalus cerastes;0.0057;0;0;227;227
1;0.0000;birdhouse;0.3026;0;0;227;227;hamper;0.2423;0;0;227;227;pedestal, plinth, footstall;0.0531;0;0;227;227;lampshade, lamp shade;0.0410;0;0;227;227;window shade;0.0332;0;0;227;227
1;0.0000;cabbage butterfly;0.9583;0;0;227;227;sulphur butterfly, sulfur butterfly;0.0407;0;0;227;227;ringlet, ringlet butterfly;0.0008;0;0;227;227;lycaenid, lycaenid butterfly;0.0001;0;0;227;227;lacewing, lacewing fly;0.0000;0;0;227;227
1;0.0000;go-kart;0.4128;0;0;227;227;amphibian, amphibious vehicle;0.1848;0;0;227;227;sports car, sport car;0.1762;0;0;227;227;racer, race car, racing car;0.1151;0;0;227;227;speedboat;0.0384;0;0;227;227
1;0.0000;otter;0.6820;0;0;227;227;weasel;0.0857;0;0;227;227;mink;0.0385;0;0;227;227;polecat, fitch, foulmart, foumart, Mustela putorius;0.0360;0;0;227;227;black-footed ferret, ferret, Mustela nigripes;0.0358;0;0;227;227
1;0.0000;prison, prison house;0.1487;0;0;227;227;passenger car, coach, carriage;0.1243;0;0;227;227;stretcher;0.0296;0;0;227;227;mobile home, manufactured home;0.0287;0;0;227;227;swing;0.0267;0;0;227;227
1;0.0000;half track;0.9212;0;0;227;227;tank, army tank, armored combat vehicle, armoured combat vehicle;0.0730;0;0;227;227;tow truck, tow car, wrecker;0.0016;0;0;227;227;amphibian, amphibious vehicle;0.0011;0;0;227;227;garbage truck, dustcart;0.0005;0;0;227;227
1;0.0000;vestment;0.9994;0;0;227;227;throne;0.0004;0;0;227;227;breastplate, aegis, egis;0.0001;0;0;227;227;chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour;0.0000;0;0;227;227;altar;0.0000;0;0;227;227
1;0.0000;common newt, Triturus vulgaris;0.7578;0;0;227;227;axolotl, mud puppy, Ambystoma mexicanum;0.1471;0;0;227;227;whiptail, whiptail lizard;0.0261;0;0;227;227;eel;0.0149;0;0;227;227;gar, garfish, garpike, billfish, Lepisosteus osseus;0.0110;0;0;227;227
1;0.0000;abacus;0.9978;0;0;227;227;accordion, piano accordion, squeeze box;0.0005;0;0;227;227;ear, spike, capitulum;0.0004;0;0;227;227;typewriter keyboard;0.0001;0;0;227;227;corn;0.0001;0;0;227;227
1;0.0000;holster;0.7108;0;0;227;227;scabbard;0.2435;0;0;227;227;mailbag, postbag;0.0080;0;0;227;227;revolver, six-gun, six-shooter;0.0075;0;0;227;227;buckle;0.0066;0;0;227;227
1;0.0000;barn spider, Araneus cavaticus;0.9420;0;0;227;227;garden spider, Aranea diademata;0.0379;0;0;227;227;tick;0.0114;0;0;227;227;spider web, spider's web;0.0041;0;0;227;227;ant, emmet, pismire;0.0015;0;0;227;227
1;0.0000;bassinet;0.3263;0;0;227;227;cradle;0.1153;0;0;227;227;diaper, nappy, napkin;0.0685;0;0;227;227;neck brace;0.0636;0;0;227;227;nipple;0.0339;0;0;227;227
1;0.0000;rain barrel;0.9777;0;0;227;227;barrel, cask;0.0074;0;0;227;227;window shade;0.0043;0;0;227;227;water jug;0.0027;0;0;227;227;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;0.0018;0;0;227;227
1;0.0000;spoonbill;0.9815;0;0;227;227;crane;0.0166;0;0;227;227;flamingo;0.0015;0;0;227;227;American egret, great white heron, Egretta albus;0.0003;0;0;227;227;black stork, Ciconia nigra;0.0000;0;0;227;227
1;0.0000;standard schnauzer;0.8584;0;0;227;227;miniature schnauzer;0.1309;0;0;227;227;giant schnauzer;0.0072;0;0;227;227;Sealyham terrier, Sealyham;0.0011;0;0;227;227;Scotch terrier, Scottish terrier, Scottie;0.0008;0;0;227;227
1;0.0000;Newfoundland, Newfoundland dog;0.4182;0;0;227;227;briard;0.1872;0;0;227;227;Bouvier des Flandres, Bouviers des Flandres;0.1038;0;0;227;227;affenpinscher, monkey pinscher, monkey dog;0.0368;0;0;227;227;Afghan hound, Afghan;0.0258;0;0;227;227
1;0.0000;pitcher, ewer;0.2593;0;0;227;227;coffeepot;0.1969;0;0;227;227;water jug;0.1452;0;0;227;227;vase;0.0638;0;0;227;227;iron, smoothing iron;0.0439;0;0;227;227
1;0.0000;freight car;0.9997;0;0;227;227;moving van;0.0000;0;0;227;227;cinema, movie theater, movie theatre, movie house, picture palace;0.0000;0;0;227;227;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.0000;0;0;227;227;comic book;0.0000;0;0;227;227
1;0.0000;beagle;0.3851;0;0;227;227;English foxhound;0.2004;0;0;227;227;Walker hound, Walker foxhound;0.0974;0;0;227;227;basset, basset hound;0.0821;0;0;227;227;Welsh springer spaniel;0.0362;0;0;227;227
1;0.0000;television, television system;0.3345;0;0;227;227;cab, hack, taxi, taxicab;0.1216;0;0;227;227;pickup, pickup truck;0.1185;0;0;227;227;screen, CRT screen;0.1056;0;0;227;227;home theater, home theatre;0.0501;0;0;227;227
1;0.0000;sturgeon;0.1757;0;0;227;227;barracouta, snoek;0.1348;0;0;227;227;slug;0.0726;0;0;227;227;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.0673;0;0;227;227;cockroach, roach;0.0594;0;0;227;227
1;0.1000;water snake;0.2646;0;0;227;227;American alligator, Alligator mississipiensis;0.1818;0;0;227;227;rock python, rock snake, Python sebae;0.1336;0;0;227;227;African crocodile, Nile crocodile, Crocodylus niloticus;0.0992;0;0;227;227;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.0725;0;0;227;227
1;0.1000;ski;0.9651;0;0;227;227;alp;0.0216;0;0;227;227;shovel;0.0083;0;0;227;227;ski mask;0.0045;0;0;227;227;dogsled, dog sled, dog sleigh;0.0001;0;0;227;227
1;0.1000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8434;0;0;227;227;collie;0.1564;0;0;227;227;papillon;0.0001;0;0;227;227;borzoi, Russian wolfhound;0.0000;0;0;227;227;Border collie;0.0000;0;0;227;227
1;0.1000;eggnog;0.6121;0;0;227;227;soup bowl;0.1974;0;0;227;227;consomme;0.0482;0;0;227;227;cup;0.0464;0;0;227;227;mixing bowl;0.0340;0;0;227;227
1;0.1000;bassinet;0.5842;0;0;227;227;crib, cot;0.1851;0;0;227;227;cradle;0.1783;0;0;227;227;hamper;0.0124;0;0;227;227;rocking chair, rocker;0.0044;0;0;227;227
1;0.1000;sidewinder, horned rattlesnake, Crotalus cerastes;0.2026;0;0;227;227;night snake, Hypsiglena torquata;0.1706;0;0;227;227;water snake;0.1541;0;0;227;227;sea snake;0.1346;0;0;227;227;hognose snake, puff adder, sand viper;0.0757;0;0;227;227
1;0.1000;marmoset;0.2012;0;0;227;227;Tibetan terrier, chrysanthemum dog;0.0978;0;0;227;227;porcupine, hedgehog;0.0782;0;0;227;227;tabby, tabby cat;0.0533;0;0;227;227;titi, titi monkey;0.0506;0;0;227;227
1;0.1000;face powder;0.2590;0;0;227;227;pick, plectrum, plectron;0.1163;0;0;227;227;tennis ball;0.0907;0;0;227;227;nipple;0.0774;0;0;227;227;Petri dish;0.0737;0;0;227;227
1;0.1000;wombat;0.2909;0;0;227;227;mousetrap;0.1658;0;0;227;227;fox squirrel, eastern fox squirrel, Sciurus niger;0.0821;0;0;227;227;hamster;0.0657;0;0;227;227;koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus;0.0405;0;0;227;227
1;0.1000;Persian cat;0.1964;0;0;227;227;Pekinese, Pekingese, Peke;0.1690;0;0;227;227;Maltese dog, Maltese terrier, Maltese;0.1224;0;0;227;227;Lhasa, Lhasa apso;0.0993;0;0;227;227;hamster;0.0971;0;0;227;227
1;0.1000;brain coral;0.9889;0;0;227;227;coral reef;0.0067;0;0;227;227;electric ray, crampfish, numbfish, torpedo;0.0028;0;0;227;227;puffer, pufferfish, blowfish, globefish;0.0006;0;0;227;227;stingray;0.0004;0;0;227;227
1;0.1000;cougar, puma, catamount, mountain lion, painter, panther, Felis concolor;0.9986;0;0;227;227;lynx, catamount;0.0013;0;0;227;227;lion, king of beasts, Panthera leo;0.0000;0;0;227;227;jaguar, panther, Panthera onca, Felis onca;0.0000;0;0;227;227;Egyptian cat;0.0000;0;0;227;227
1;0.1000;guenon, guenon monkey;0.8048;0;0;227;227;patas, hussar monkey, Erythrocebus patas;0.1897;0;0;227;227;titi, titi monkey;0.0026;0;0;227;227;colobus, colobus monkey;0.0013;0;0;227;227;macaque;0.0005;0;0;227;227
1;0.1000;recreational vehicle, RV, R.V.;0.9957;0;0;227;227;minibus;0.0028;0;0;227;227;mobile home, manufactured home;0.0005;0;0;227;227;moving van;0.0004;0;0;227;227;ambulance;0.0004;0;0;227;227
1;0.1000;harvester, reaper;0.9308;0;0;227;227;thresher, thrasher, threshing machine;0.0577;0;0;227;227;tractor;0.0055;0;0;227;227;plow, plough;0.0036;0;0;227;227;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.0007;0;0;227;227
1;0.1000;grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus;0.9614;0;0;227;227;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.0378;0;0;227;227;killer whale, killer, orca, grampus, sea wolf, Orcinus orca;0.0004;0;0;227;227;dugong, Dugong dugon;0.0001;0;0;227;227;sea lion;0.0001;0;0;227;227
1;0.1000;goldfish, Carassius auratus;0.7974;0;0;227;227;fire screen, fireguard;0.1445;0;0;227;227;axolotl, mud puppy, Ambystoma mexicanum;0.0182;0;0;227;227;volcano;0.0047;0;0;227;227;eft;0.0035;0;0;227;227
1;0.1000;kite;0.9786;0;0;227;227;vulture;0.0121;0;0;227;227;coucal;0.0037;0;0;227;227;bald eagle, American eagle, Haliaeetus leucocephalus;0.0029;0;0;227;227;limpkin, Aramus pictus;0.0011;0;0;227;227
1;0.1000;carton;0.7869;0;0;227;227;crate;0.1438;0;0;227;227;chest;0.0232;0;0;227;227;file, file cabinet, filing cabinet;0.0219;0;0;227;227;envelope;0.0034;0;0;227;227
