sigma;thres;class1;score1;x1;y1;w1;h1;class2;score2;x2;y2;w2;h2;class3;score3;x3;y3;w3;h3;class4;score4;x4;y4;w4;h4;class5;score5;x5;y5;w5;h5
1;0.5000;nematode, nematode worm, roundworm;0.2328;48;56;178;164;sidewinder, horned rattlesnake, Crotalus cerastes;0.1117;1;1;226;226;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.1037;0;0;227;216;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;0.0536;0;0;227;227;sea snake;0.0403;43;45;158;79
1;0.5000;assault rifle, assault gun;0.0960;0;0;227;227;alp;0.0883;0;0;227;227;tripod;0.0665;0;0;227;227;nail;0.0399;0;0;227;227;coyote, prairie wolf, brush wolf, Canis latrans;0.0339;0;0;227;227
1;0.5000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8197;0;0;227;227;collie;0.1473;0;0;227;226;papillon;0.0101;0;0;227;227;Pembroke, Pembroke Welsh corgi;0.0036;0;0;227;227;Cardigan, Cardigan Welsh corgi;0.0033;0;0;227;227
1;0.5000;consomme;0.6035;0;0;227;227;eggnog;0.1453;0;0;227;227;cup;0.0908;98;7;84;134;soup bowl;0.0849;0;0;227;227;espresso;0.0212;0;0;227;227
1;0.5000;hourglass;0.2147;0;0;227;227;pick, plectrum, plectron;0.0429;0;0;227;227;cockroach, roach;0.0257;0;0;227;227;drumstick;0.0208;0;0;227;227;cellular telephone, cellular phone, cellphone, cell, mobile phone;0.0199;7;0;220;227
1;0.5000;sidewinder, horned rattlesnake, Crotalus cerastes;0.3761;0;0;227;227;water snake;0.1590;0;0;227;227;ringneck snake, ring-necked snake, ring snake;0.1340;46;123;116;64;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;0.0991;0;0;227;227;thunder snake, worm snake, Carphophis amoenus;0.0605;44;64;174;125
1;0.5000;screw;0.1052;0;0;227;226;radiator;0.0460;40;7;181;179;milk can;0.0411;0;0;227;227;binoculars, field glasses, opera glasses;0.0347;0;0;227;227;assault rifle, assault gun;0.0268;0;0;227;227
1;0.5000;tennis ball;0.1926;0;0;227;227;pick, plectrum, plectron;0.1065;0;0;227;227;rubber eraser, rubber, pencil eraser;0.1028;0;0;227;227;lipstick, lip rouge;0.0589;1;0;223;227;face powder;0.0583;3;2;198;224
1;0.5000;birdhouse;0.3519;0;0;226;227;table lamp;0.1281;1;24;223;160;ocarina, sweet potato;0.1106;0;0;227;227;dining table, board;0.0192;32;48;186;178;worm fence, snake fence, snake-rail fence, Virginia fence;0.0184;0;0;227;227
1;0.5000;hamster;0.2269;5;0;216;217;Pomeranian;0.1759;0;0;227;227;Maltese dog, Maltese terrier, Maltese;0.1258;0;0;227;227;toy poodle;0.0987;0;0;227;227;weasel;0.0510;0;0;227;227
1;0.5000;rock beauty, Holocanthus tricolor;0.2849;2;0;225;227;lemon;0.1953;3;0;224;227;axolotl, mud puppy, Ambystoma mexicanum;0.1029;0;0;227;227;spaghetti squash;0.0860;0;0;227;227;fig;0.0619;0;0;227;227
1;0.5000;dingo, warrigal, warragal, Canis dingo;0.6677;0;0;215;227;red wolf, maned wolf, Canis rufus, Canis niger;0.0675;0;0;227;227;kit fox, Vulpes macrotis;0.0321;0;0;227;227;timber wolf, grey wolf, gray wolf, Canis lupus;0.0225;2;0;219;227;Eskimo dog, husky;0.0178;5;0;200;227
1;0.5000;patas, hussar monkey, Erythrocebus patas;0.8170;0;0;227;227;guenon, guenon monkey;0.1211;0;0;227;227;macaque;0.0181;0;0;227;227;colobus, colobus monkey;0.0153;0;0;227;227;proboscis monkey, Nasalis larvatus;0.0134;0;0;227;227
1;0.5000;recreational vehicle, RV, R.V.;0.5565;0;0;227;227;moving van;0.2750;0;0;227;227;mobile home, manufactured home;0.1106;0;0;227;227;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.0223;0;0;227;227;ambulance;0.0063;0;0;227;227
1;0.5000;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.3510;7;19;220;150;tractor;0.1461;0;0;227;227;harvester, reaper;0.1409;0;0;227;227;thresher, thrasher, threshing machine;0.1295;0;0;227;227;web site, website, internet site, site;0.0515;15;20;198;80
1;0.5000;grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus;0.5754;0;0;227;227;sea lion;0.0536;0;1;227;226;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.0447;0;0;227;227;nematode, nematode worm, roundworm;0.0277;0;0;227;227;hippopotamus, hippo, river horse, Hippopotamus amphibius;0.0237;0;0;227;227
1;0.5000;fire screen, fireguard;0.1145;0;0;227;227;digital clock;0.0652;0;0;227;227;guillotine;0.0411;0;0;227;227;prison, prison house;0.0247;0;0;227;227;lighter, light, igniter, ignitor;0.0242;0;0;227;227
1;0.5000;flatworm, platyhelminth;0.2495;1;0;223;154;nematode, nematode worm, roundworm;0.1541;0;0;227;227;hook, claw;0.1196;0;0;227;227;nail;0.0828;0;0;227;227;slug;0.0567;0;0;227;227
1;0.5000;pencil sharpener;0.5328;0;0;227;227;switch, electric switch, electrical switch;0.2482;3;0;224;227;cassette player;0.0255;13;35;213;192;digital clock;0.0171;4;12;216;214;remote control, remote;0.0134;4;0;223;227
1;0.5000;nematode, nematode worm, roundworm;0.2199;0;0;227;227;tick;0.2166;0;0;227;227;ant, emmet, pismire;0.0999;0;0;227;227;barn spider, Araneus cavaticus;0.0500;0;0;227;227;knot;0.0458;0;0;227;227
1;0.5000;fox squirrel, eastern fox squirrel, Sciurus niger;0.2026;0;0;227;227;three-toed sloth, ai, Bradypus tridactylus;0.1820;23;43;169;158;marmoset;0.1360;0;0;227;227;junco, snowbird;0.0948;0;0;227;227;wood rabbit, cottontail, cottontail rabbit;0.0610;3;3;223;223
