sigma;thres;class1;score1;x1;y1;w1;h1;class2;score2;x2;y2;w2;h2;class3;score3;x3;y3;w3;h3;class4;score4;x4;y4;w4;h4;class5;score5;x5;y5;w5;h5
1;0.5000;nematode, nematode worm, roundworm;0.2328;48;56;178;164;sidewinder, horned rattlesnake, Crotalus cerastes;0.1117;62;81;3;3;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.1037;0;0;227;227;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;0.0536;0;0;227;227;sea snake;0.0403;0;0;227;227
1;0.5000;assault rifle, assault gun;0.0960;0;0;227;227;alp;0.0883;0;0;227;227;tripod;0.0665;0;0;227;227;nail;0.0399;0;0;227;227;coyote, prairie wolf, brush wolf, Canis latrans;0.0339;0;0;227;227
1;0.5000;Shetland sheepdog, Shetland sheep dog, Shetland;0.8197;0;0;227;227;collie;0.1473;37;52;187;168;papillon;0.0101;2;47;223;180;Pembroke, Pembroke Welsh corgi;0.0036;22;48;202;177;Cardigan, Cardigan Welsh corgi;0.0033;0;5;227;222
1;0.5000;consomme;0.6035;0;0;227;227;eggnog;0.1453;0;0;227;227;cup;0.0908;0;0;227;227;soup bowl;0.0849;0;0;227;227;espresso;0.0212;0;0;227;227
1;0.5000;hourglass;0.2147;0;0;227;227;pick, plectrum, plectron;0.0429;0;0;227;227;cockroach, roach;0.0257;23;42;179;185;drumstick;0.0208;10;0;178;227;cellular telephone, cellular phone, cellphone, cell, mobile phone;0.0199;0;0;227;227
1;0.5000;sidewinder, horned rattlesnake, Crotalus cerastes;0.3761;0;0;227;227;water snake;0.1590;0;0;227;227;ringneck snake, ring-necked snake, ring snake;0.1340;0;0;227;227;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;0.0991;0;0;227;227;thunder snake, worm snake, Carphophis amoenus;0.0605;0;0;227;227
1;0.5000;screw;0.1052;0;0;227;226;radiator;0.0460;0;0;227;227;milk can;0.0411;0;0;227;227;binoculars, field glasses, opera glasses;0.0347;0;0;227;227;assault rifle, assault gun;0.0268;0;0;227;227
1;0.5000;tennis ball;0.1926;0;0;227;227;pick, plectrum, plectron;0.1065;0;0;227;227;rubber eraser, rubber, pencil eraser;0.1028;0;0;227;227;lipstick, lip rouge;0.0589;0;0;227;227;face powder;0.0583;0;0;227;227
1;0.5000;birdhouse;0.3519;0;0;226;227;table lamp;0.1281;0;1;227;226;ocarina, sweet potato;0.1106;0;0;227;227;dining table, board;0.0192;0;1;227;226;worm fence, snake fence, snake-rail fence, Virginia fence;0.0184;0;3;227;224
1;0.5000;hamster;0.2269;5;0;216;217;Pomeranian;0.1759;82;0;145;225;Maltese dog, Maltese terrier, Maltese;0.1258;0;0;227;227;toy poodle;0.0987;3;0;223;185;weasel;0.0510;0;0;227;227
1;0.5000;rock beauty, Holocanthus tricolor;0.2849;2;0;225;227;lemon;0.1953;0;0;227;227;axolotl, mud puppy, Ambystoma mexicanum;0.1029;51;64;2;2;spaghetti squash;0.0860;0;0;227;227;fig;0.0619;0;0;227;227
1;0.5000;dingo, warrigal, warragal, Canis dingo;0.6677;0;0;215;227;red wolf, maned wolf, Canis rufus, Canis niger;0.0675;0;0;227;227;kit fox, Vulpes macrotis;0.0321;0;0;227;227;timber wolf, grey wolf, gray wolf, Canis lupus;0.0225;0;0;227;227;Eskimo dog, husky;0.0178;0;0;227;227
1;0.5000;patas, hussar monkey, Erythrocebus patas;0.8170;0;0;227;227;guenon, guenon monkey;0.1211;0;0;227;227;macaque;0.0181;0;0;227;227;colobus, colobus monkey;0.0153;0;0;227;227;proboscis monkey, Nasalis larvatus;0.0134;0;0;227;226
1;0.5000;recreational vehicle, RV, R.V.;0.5565;0;0;227;227;moving van;0.2750;50;64;152;157;mobile home, manufactured home;0.1106;64;77;138;100;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.0223;0;0;227;227;ambulance;0.0063;50;65;6;13
1;0.5000;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.3510;7;19;220;150;tractor;0.1461;0;0;227;227;harvester, reaper;0.1409;0;0;227;227;thresher, thrasher, threshing machine;0.1295;0;0;227;227;web site, website, internet site, site;0.0515;0;0;227;227
1;0.5000;grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus;0.5754;0;0;227;227;sea lion;0.0536;48;74;6;6;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.0447;0;0;227;227;nematode, nematode worm, roundworm;0.0277;48;74;6;5;hippopotamus, hippo, river horse, Hippopotamus amphibius;0.0237;0;0;227;227
1;0.5000;fire screen, fireguard;0.1145;0;0;227;227;digital clock;0.0652;0;0;227;227;guillotine;0.0411;0;0;227;227;prison, prison house;0.0247;0;0;227;227;lighter, light, igniter, ignitor;0.0242;0;0;227;227
1;0.5000;flatworm, platyhelminth;0.2495;1;0;223;154;nematode, nematode worm, roundworm;0.1541;0;0;227;227;hook, claw;0.1196;0;0;227;227;nail;0.0828;0;0;227;227;slug;0.0567;0;0;227;227
