sigma;thres;pt_w;pt_h;class1;score1;x1;y1;w1;h1;class2;score2;x2;y2;w2;h2;class3;score3;x3;y3;w3;h3;class4;score4;x4;y4;w4;h4;class5;score5;x5;y5;w5;h5
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
30;0.6000;113;113;Arctic fox, white fox, Alopex lagopus;0.1158;29;38;147;130;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.0791;46;59;128;74;American alligator, Alligator mississipiensis;0.0654;27;36;160;137;airship, dirigible;0.0560;53;65;109;50;puffer, pufferfish, blowfish, globefish;0.0537;47;64;109;62
30;0.6000;113;113;dogsled, dog sled, dog sleigh;0.4167;35;29;120;129;snowplow, snowplough;0.2954;50;60;85;76;snowmobile;0.0952;33;32;144;133;Eskimo dog, husky;0.0720;49;29;101;104;warplane, military plane;0.0651;19;29;151;124
30;0.6000;113;113;Shetland sheepdog, Shetland sheep dog, Shetland;0.4539;66;39;112;120;collie;0.2628;62;59;122;102;Pomeranian;0.1900;90;51;89;93;papillon;0.1503;67;50;111;125;Samoyed, Samoyede;0.0640;100;72;58;48
30;0.6000;113;113;common newt, Triturus vulgaris;0.2757;48;51;133;121;hamster;0.1477;52;72;108;96;junco, snowbird;0.1177;54;65;127;109;brambling, Fringilla montifringilla;0.1016;0;0;227;227;cup;0.0825;36;20;163;169
30;0.6000;113;113;barn spider, Araneus cavaticus;0.2493;44;51;93;91;hamster;0.1072;8;7;208;212;hermit crab;0.0975;39;10;159;203;isopod;0.0739;38;50;135;114;Persian cat;0.0664;35;12;161;142
30;0.6000;113;113;screw;0.3005;22;22;163;183;syringe;0.2278;70;19;141;166;airship, dirigible;0.1520;10;13;204;208;nail;0.1267;61;86;122;111;alligator lizard;0.0455;67;91;104;94
30;0.6000;113;113;rubber eraser, rubber, pencil eraser;0.5499;42;66;152;127;screw;0.1794;54;87;144;102;syringe;0.0949;33;71;166;122;trilobite;0.0591;21;62;194;145;isopod;0.0551;13;52;185;163
30;0.6000;113;113;lipstick, lip rouge;0.2468;32;10;170;203;lacewing, lacewing fly;0.1476;38;20;124;154;pick, plectrum, plectron;0.1005;35;20;128;165;pencil sharpener;0.0762;16;10;177;193;rubber eraser, rubber, pencil eraser;0.0748;7;1;208;217
