sigma;thres;pt_w;pt_h;class1;score1;x1;y1;w1;h1;class2;score2;x2;y2;w2;h2;class3;score3;x3;y3;w3;h3;class4;score4;x4;y4;w4;h4;class5;score5;x5;y5;w5;h5
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
0;0.6000;113;113;nematode, nematode worm, roundworm;0.2098;0;0;219;219;spotlight, spot;0.1840;0;0;219;219;matchstick;0.0359;0;0;219;219;lampshade, lamp shade;0.0320;0;0;219;219;velvet;0.0318;0;1;216;218
30;0.6000;113;113;Arctic fox, white fox, Alopex lagopus;0.0892;41;60;136;108;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.0831;45;44;138;126;airship, dirigible;0.0404;50;55;126;88;American alligator, Alligator mississipiensis;0.0404;43;59;125;82;puffer, pufferfish, blowfish, globefish;0.0276;48;63;123;63
30;0.6000;113;113;dogsled, dog sled, dog sleigh;0.2255;60;44;92;94;white wolf, Arctic wolf, Canis lupus tundrarum;0.0981;60;75;83;66;Eskimo dog, husky;0.0534;15;24;179;155;coyote, prairie wolf, brush wolf, Canis latrans;0.0521;70;76;26;9;malamute, malemute, Alaskan malamute;0.0468;11;24;138;150
30;0.6000;113;113;Shetland sheepdog, Shetland sheep dog, Shetland;0.4714;101;67;75;67;papillon;0.2542;54;58;121;148;collie;0.1811;74;41;110;118;Pomeranian;0.0212;60;55;117;125;Pembroke, Pembroke Welsh corgi;0.0201;44;33;155;167
30;0.6000;113;113;hamster;0.1513;50;17;162;161;brambling, Fringilla montifringilla;0.0985;66;83;101;88;common newt, Triturus vulgaris;0.0935;79;80;108;85;junco, snowbird;0.0802;0;0;227;222;axolotl, mud puppy, Ambystoma mexicanum;0.0547;72;76;75;61
30;0.6000;113;113;hamster;0.0979;27;47;160;142;isopod;0.0508;44;61;146;86;Persian cat;0.0502;0;0;227;227;barn spider, Araneus cavaticus;0.0399;38;48;134;110;Arctic fox, white fox, Alopex lagopus;0.0326;42;51;116;104
30;0.6000;113;113;screw;0.2349;74;101;93;80;syringe;0.1258;12;11;206;201;nail;0.1101;51;92;119;93;alligator lizard;0.0571;76;100;93;73;centipede;0.0427;72;104;94;65
30;0.6000;113;113;rubber eraser, rubber, pencil eraser;0.4231;42;37;148;155;screw;0.1710;32;54;174;139;coil, spiral, volute, whorl, helix;0.0613;59;69;137;115;syringe;0.0557;12;51;203;163;ballpoint, ballpoint pen, ballpen, Biro;0.0430;51;59;156;125
